time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
10,-12.05956,-14.24789,996.2991,-1,0.6069336, 15.99951, -0.7006836, 50.02797, -68.89484, 66.20484,2.484259,1,1,30
24,-18.90697,-25.75439,996.715,-1,-2.304688, 15.99951, -0.3061523, -7.268906, -99.51984, -7.904531,2.484259,2,1,30
39,-28.0406,-37.17422,997.1281,-1,2.128418, 15.99951, 1.200195, -50.92516, -101.0042, 123.2361,2.484259,3,1,30
112,-53.48457,-78.92853,998.6386,-1,-0.3100586, 1.362793, 1.013672, -125.847, 75.93328, 39.0486,2.484259,4,1,30
176,-59.11896,-64.75336,998.1255,-1,-0.3930664, -0.2407227, -0.4291992, 2.340469, 65.71453, -16.59203,2.484259,5,1,30
345,-49.45493,-39.79089,997.2227,-1,0.296875, -0.2402344, -0.2436523, 23.41859, 33.63641, 14.89234,2.484259,6,2,30
411,-38.87401,-28.29309,996.8068,10.88437,0.1884766, -0.2426758, 0.1425781, 17.57484, 26.77703, 14.67359,2.484259,7,2,30
478,-28.67077,-18.46753,996.4517,-1,-0.06494141, -0.2207031, 0.2797852, -4.800156, 23.08953, -7.857656,2.484259,8,2,30
547,-20.80517,-12.93958,996.2519,10.87519,-0.1821289, -0.1523438, 0.265625, 0.2623438, 16.93328, -9.982656,2.484259,9,2,30
616,-12.20653,-3.60788,995.9149,-1,-0.2148438, -0.1425781, 0.1845703, 2.371719, 8.995781, -8.154531,2.484259,10,2,30
684,-3.938849,4.328827,995.6281,-1,-0.1860352, -0.09912109, 0.09521484, 3.574844, 6.167656, -6.888906,2.484259,11,2,30
753,4.457928,12.85471,995.3204,-1,-0.1098633, -0.09326172, 0.05224609, 2.590469, 3.808281, -5.310781,2.484259,12,2,30
823,10.83977,17.22162,995.1626,10.83846,-0.05371094, -0.08398438, 0.02734375, 0.1217188, 1.902031, -4.326406,4.457928,0,2,30
894,17.31021,23.78064,994.9257,10.83846,-0.01464844, -0.07275391, 0.06103516, -1.565781, 0.2926564, -0.7326562,10.83977,0,2,30
965,24.66542,32.02063,994.6284,-1,-0.0078125, -0.07275391, 0.06347656, -2.909531, -0.5354686, 0.7048438,17.31021,0,2,30
1143,34.10059,43.53577,994.2129,-1,0.01416016, -0.0546875, 0.05810547, -5.237656, -2.847969, 0.5954688,24.66542,0,2,30
1214,40.46009,46.81958,994.0945,-1,0.02539063, -0.0390625, 0.06835938, -5.534531, -3.285469, 1.548594,34.10059,0,2,30
1285,46.92371,53.38733,993.8577,-1,0.03417969, -0.04492188, 0.0546875, -5.050156, -4.972969, 1.798594,40.46009,0,2,30
1356,52.63788,58.35205,993.6788,-1,0.04003906, -0.03662109, 0.05371094, -4.972031, -5.691719, 2.142344,46.92371,0,2,30
1433,56.88129,61.12469,993.5789,10.81092,0.01074219, -0.02441406, 0.07226563, -4.706406, -6.519844, 1.876719,52.63788,0,2,30
1509,61.04349,65.20569,993.4316,-1,-0.005859375, -0.01416016, 0.07421875, -5.550156, -7.832344, 0.1892188,56.88129,0,2,30
1586,64.9138,68.78412,993.3027,-1,-0.006347656, -0.008789063, 0.05859375, -4.206406, -8.379219, 0.3923438,61.04349,0,2,30
1661,66.84896,68.78412,993.3027,-1,-0.007324219, -0.00390625, 0.05126953, -4.690781, -8.816719, 0.6267188,64.9138,0,2,30
1738,69.31117,71.77338,993.1948,-1,0.0009765625, 0.0004882813, 0.03613281, -4.018906, -9.410469, 1.470469,66.84896,0,2,30
1815,71.78132,74.25146,993.1054,-1,0.004882813, 0.00390625, 0.04052734, -4.503281, -9.957344, 1.704844,69.31117,0,2,30
1998,75.71973,79.65814,992.9107,-1,0.002441406, 0.009277344, 0.04980469, -5.690781, -9.926094, 2.532969,71.78132,0,2,30
2077,77.68893,79.65814,992.9107,-1,0.003417969, 0.008789063, 0.05810547, -6.378281, -10.20734, 2.892344,75.71973,0,2,30
2155,79.33202,80.9751,992.8633,-1,0.004394531, 0.01123047, 0.05957031, -6.393906, -10.26984, 3.220469,77.68893,0,2,30
2236,79.3131,79.29419,992.9236,-1,0.005859375, 0.01123047, 0.05078125, -6.331406, -10.67609, 3.642344,79.33202,0,2,30
2317,80.25241,81.19171,992.8555,-1,0.0, 0.01318359, 0.05029297, -6.550156, -11.56672, 3.970469,79.33202,1,2,30
2401,80.43181,80.61121,992.8762,10.85683,0.00390625, 0.01708984, 0.05566406, -7.487656, -12.53547, 5.126719,80.25241,0,2,30
2484,80.81176,81.19171,992.8555,10.85683,0.0078125, 0.02050781, 0.05029297, -8.503282, -13.25422, 6.751719,80.43181,0,2,30
2566,80.30859,79.80542,992.9052,-1,0.005371094, 0.02392578, 0.05273438, -9.800157, -13.55109, 8.642344,80.81176,0,2,30
2698,79.22089,78.13318,992.9657,-1,0.004882813, 0.03027344, 0.05664063, -13.67516, -13.61359, 13.64234,80.81176,1,2,30
2761,77.72827,76.23566,993.0341,-1,0.002441406, 0.03369141, 0.05859375, -16.65953, -13.76984, 17.34547,80.81176,2,2,30
2931,73.94937,70.17047,993.2526,-1,0.02001953, 0.0390625, 0.05712891, -27.17516, -14.53547, 32.4861,80.81176,3,2,30
2995,71.66136,69.37335,993.2814,10.8706,0.01660156, 0.03955078, 0.07177734, -32.95641, -17.06672, 39.89235,80.81176,4,2,30
3061,71.17587,70.69037,993.2339,10.8706,0.04931641, 0.02978516, 0.07568359, -40.98766, -22.75422, 52.26735,80.81176,5,3,30
3125,69.83705,68.49823,993.3129,-1,0.08935547, 0.01123047, 0.06591797, -48.08141, -30.81672, 66.81422,80.81176,5,3,30
3191,67.5257,65.21436,993.4313,-1,0.105957, -0.03125, 0.07177734, -60.05016, -47.59797, 88.14234,80.81176,5,3,30
3256,67.60907,67.69244,993.3419,-1,0.1757813, -0.1230469, 0.2426758, -72.84703, -59.51984, 111.5642,80.81176,5,3,30
3331,67.7634,67.91772,993.3338,-1,0.296875, -0.2504883, 0.08740234, -85.59703, -56.05109, 153.5798,80.81176,5,3,30
3398,70.57854,73.39368,993.1365,-1,0.6694336, -0.4682617, -0.05078125, -98.92516, -18.78547, 186.1267,80.81176,5,3,30
3468,69.79397,69.0094,993.2944,10.88437,0.6655273, -0.6923828, 0.2641602, -145.6439, 72.57391, 210.1111,80.81176,5,3,30
3536,67.75978,65.72559,993.4127,-1,0.3662109, -0.887207, 0.6000977, -211.9877, 182.2302, 192.6111,80.81176,5,3,30
3712,50.87794,33.99609,994.5573,-1,-0.2314453, -1.181641, 0.3066406, -315.3783, 351.0583, -48.21703,80.81176,5,3,30
3779,34.78193,18.68591,995.1097,-1,-0.1601563, -1.123047, 0.1005859, -265.5814, 345.152, -161.5139,80.81176,5,3,30
3847,25.81981,16.8577,995.1757,-1,0.009765625, -0.9560547, 0.07666016, -183.7533, 329.8552, -214.8108,80.81176,5,3,30
3918,21.48606,17.15231,995.1652,-1,0.2626953, -0.6445313, 0.1591797, -98.81578, 304.3552, -203.3108,80.81176,5,3,30
3990,22.3431,23.20013,994.947,-1,0.4394531, -0.3457031, 0.2285156, -55.94078, 243.6208, -149.7795,80.81176,5,3,30
4061,22.51602,22.68893,994.9652,-1,0.4150391, -0.1831055, 0.3959961, -49.47203, 228.3864, -91.52953,80.81176,5,3,30
4135,21.6537,20.79138,995.0337,10.83846,0.4736328, -0.230957, 0.3271484, -59.48766, 354.6052, -48.2639,80.81176,5,3,30
4211,18.34592,15.03815,995.2414,-1,0.08837891, -0.3310547, 0.5205078, -93.48766, 494.8708, -71.04516,80.81176,5,3,30
4285,13.45151,8.557098,995.4756,-1,-0.03662109, -0.3994141, 0.4375, -83.14391, 495.7927, -94.24828,80.81176,5,3,30
4357,4.592561,-4.266388,995.9386,-1,-0.1972656, -0.3779297, 0.262207, -45.00328, 440.6677, -129.8108,80.81176,5,3,30
4538,-9.627807,-23.84818,996.6462,-1,-0.2680664, -0.3764648, 0.1254883, 80.91859, 412.7927, -115.9827,80.81176,5,4,30
4614,-18.52289,-27.41797,996.7751,10.79715,-0.2255859, -0.3212891, 0.2353516, 98.37172, 373.1208, -74.98266,80.81176,5,4,30
4690,-26.34959,-34.1763,997.0196,10.78337,-0.2021484, -0.2871094, 0.2856445, 79.93422, 328.7458, -45.27953,80.81176,5,4,30
4767,-32.30344,-38.25729,997.1672,10.79255,-0.4575195, -0.2133789, 0.02636719, 64.55922, 305.0427, -38.60765,80.81176,5,4,30
4847,-14.82344,2.656555,995.6886,10.79255,-3.844727, -5.931641, 0.3164063, 510.403, -495.2855, 509.4392,80.81176,5,4,30
4925,-8.487848,-2.152252,995.8622,-1,-0.8188477, 3.879395, 1.864258, 25.69984, -295.9261, -83.82641,80.81176,5,4,30
5005,-2.699033,3.089783,995.6729,10.75124,0.5297852, -3.221191, -1.591797, -191.9408, -444.1605, -52.8264,80.81176,5,4,30
5086,-1.55052,-0.4020081,995.7991,10.74664,0.03613281, -0.07763672, 0.006347656, -122.3783, -505.1761, 54.6111,80.81176,5,4,30
5169,-1.266532,-0.9825439,995.8201,10.74664,0.4379883, 0.53125, -0.8920898, -10.23766, -91.58234, 44.72047,80.81176,5,4,30
5250,-1.670391,-2.074249,995.8596,10.74664,0.8461914, 1.129883, -1.080078, 13.87172, 134.3239, 48.9236,80.81176,5,4,30
5437,-1.075186,-0.4799805,995.8017,-1,0.2587891, -0.07519531, 0.2197266, 106.2623, 96.90203, -1.326406,80.81176,5,4,30
5520,-1.470744,-1.866302,995.8519,10.76501,0.1103516, 0.07421875, 0.3476563, -10.87828, -35.09797, 26.64234,80.81176,5,4,30
5602,-1.811498,-2.152252,995.8622,-1,0.8881836, -0.05859375, 1.009277, 9.934218, -196.1292, -0.2326562,80.81176,5,4,30
5733,-2.129168,-2.446838,995.8728,-1,0.7470703, -0.1171875, 0.5209961, 19.77797, 60.21453, -15.24828,80.81176,5,4,30
5797,-1.633829,-1.138489,995.8256,10.78337,0.652832, -0.09082031, 0.7797852, 5.652969, 25.63641, -3.638906,80.81176,5,4,30
5860,-0.9485976,-0.2633667,995.7939,-1,0.7827148, -0.1435547, 0.5795898, -2.815781, -12.62922, 2.126719,80.81176,5,4,30
5926,-1.186503,-1.424408,995.8359,-1,0.762207, -0.128418, 0.6982422, 0.6217188, 2.167656, -0.1389062,80.81176,5,4,30
5992,-1.305455,-1.424408,995.8359,10.79255,0.769043, -0.1289063, 0.6850586, 0.3248438, 0.3395314, 0.04859376,80.81176,5,4,30
6058,-2.201067,-3.09668,995.8964,10.80174,0.7719727, -0.1289063, 0.675293, 0.2154688, -0.2698436, 0.03296876,80.81176,5,4,30
6124,-0.8639767,0.473114,995.7675,-1,0.7749023, -0.1298828, 0.6743164, 0.2310938, -0.4417186, 0.06421876,80.81176,5,4,30
6297,-0.3427397,0.1784973,995.7781,10.80174,0.7739258, -0.1308594, 0.675293, 0.2623438, -0.2542186, 0.04859376,80.81176,5,4,30
6362,-1.030882,-1.719025,995.8464,10.80174,0.7734375, -0.128418, 0.6743164, 0.2467188, -0.3010936, 0.06421876,80.81176,5,4,30
6429,-2.904235,-4.777588,995.957,-1,0.7734375, -0.1313477, 0.6733398, 0.2310938, -0.2698436, 0.04859376,80.81176,5,4,30
6497,-2.346282,-1.78833,995.8491,-1,0.7734375, -0.1313477, 0.6748047, 0.2154688, -0.2698436, 0.06421876,80.81176,5,4,30
6567,-1.77272,-1.199158,995.8279,10.80174,0.7739258, -0.1298828, 0.6748047, 0.1685938, -0.2229686, 0.03296876,80.81176,5,4,30
6634,-2.036125,-2.29953,995.8675,-1,0.7729492, -0.1308594, 0.6762695, 0.1685938, -0.2698436, 0.04859376,80.81176,5,4,30
6704,-2.310802,-2.58548,995.8781,-1,0.7724609, -0.1293945, 0.6777344, 0.1998438, -0.2698436, 0.07984376,80.81176,5,4,30
6776,-2.305166,-2.29953,995.8675,10.80174,0.7729492, -0.1318359, 0.675293, 0.1529688, -0.2385936, 0.09546876,80.81176,5,4,30
6856,-1.353587,-0.4020081,995.7991,-1,0.7724609, -0.128418, 0.6757813, 0.1842188, -0.2385936, 0.04859376,80.81176,5,4,30
6929,-0.8777976,-0.4020081,995.7991,-1,0.7729492, -0.1303711, 0.6733398, 0.1842188, -0.2854686, 0.04859376,80.81176,5,4,30
7111,-1.333064,-1.78833,995.8491,10.81092,0.7729492, -0.1293945, 0.6757813, 0.2623438, -0.3167186, 0.06421876,80.81176,5,4,30
7184,-1.816297,-2.29953,995.8675,-1,0.7734375, -0.1289063, 0.6743164, 0.1842188, -0.2698436, 0.04859376,80.81176,5,4,30
7258,-2.495475,-3.174652,995.8992,-1,0.7734375, -0.1293945, 0.6762695, 0.2154688, -0.2542186, 0.04859376,80.81176,5,4,30
7335,-1.448741,-0.4020081,995.7991,10.81092,0.7724609, -0.1293945, 0.6757813, 0.1685938, -0.3010936, 0.07984376,80.81176,5,4,30
7415,-2.311697,-3.174652,995.8992,10.82469,0.7729492, -0.1289063, 0.675293, 0.2154688, -0.2385936, 0.06421876,80.81176,5,4,30
7491,-2.448588,-2.58548,995.8781,10.81092,0.7744141, -0.1298828, 0.6743164, 0.2154688, -0.2229686, 0.04859376,80.81176,5,4,30
7569,-1.7199,-0.9912109,995.8203,-1,0.7734375, -0.1303711, 0.6777344, 0.2623438, -0.2542186, 0.01734376,80.81176,5,4,30
7644,-1.208247,-0.6965942,995.8096,-1,0.7724609, -0.1303711, 0.6733398, 0.2623438, -0.2385936, 0.07984376,80.81176,5,4,30
7726,-1.099729,-0.9912109,995.8203,10.81551,0.7739258, -0.1298828, 0.6748047, 0.1685938, -0.2229686, 0.00171876,80.81176,5,4,30
7804,-0.4952685,0.1091919,995.7807,-1,0.7734375, -0.1298828, 0.6748047, 0.2310938, -0.2854686, 0.04859376,80.81176,5,4,30
7991,-0.8905329,-1.285797,995.8308,-1,0.7744141, -0.1303711, 0.6767578, 0.1998438, -0.3010936, 0.06421876,80.81176,5,4,30
8072,-2.179886,-3.469238,995.9097,-1,0.7729492, -0.1289063, 0.6757813, 0.2310938, -0.3167186, 0.01734376,80.81176,5,4,30
8149,-1.732841,-1.285797,995.8308,-1,0.7734375, -0.1298828, 0.6757813, 0.2467188, -0.2698436, 0.04859376,80.81176,5,4,30
8234,-2.055187,-2.377533,995.8702,10.8201,0.7729492, -0.1289063, 0.6762695, 0.1685938, -0.2385936, 0.07984376,80.81176,5,4,30
8314,-2.069052,-2.082916,995.8596,10.8201,0.7739258, -0.1313477, 0.6743164, 0.1998438, -0.2385936, 0.09546876,80.81176,5,4,30
8398,-1.820384,-1.571716,995.8413,-1,0.7739258, -0.1313477, 0.6733398, 0.1529688, -0.3010936, 0.04859376,80.81176,5,4,30
8531,-2.79212,-3.763855,995.9203,-1,0.7724609, -0.1303711, 0.6748047, 0.2310938, -0.2385936, 0.06421876,80.81176,5,4,30
8594,-1.233157,0.3258057,995.7727,10.82928,0.7744141, -0.1303711, 0.6767578, 0.1842188, -0.2698436, 0.06421876,80.81176,5,4,30
