time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
10,-16.77975,-21.9689,996.8887,9.364523,-0.6206055, 15.99951, -1.146973, -37.73265, -58.65391, -32.77016,3.805486,1,1,45
25,-27.5363,-38.29285,997.4788,9.35993,0.7114258, 15.99951, -0.668457, 1.236094, -108.6539, 30.80797,3.805486,2,1,45
41,-44.4817,-61.42709,998.3159,9.35993,2.266113, 15.99951, 1.100098, -23.21703, -138.2164, -8.113906,3.805486,3,1,45
108,-88.89047,-133.2993,1000.92,-1,-0.1391602, 1.914063, 1.162598, -45.79515, 158.1273, -42.30141,3.805486,4,1,45
170,-103.2491,-117.6078,1000.351,-1,0.7905273, -0.4975586, 0.5786133, -66.20141, 126.393, 49.16734,3.805486,5,1,45
234,-103.2283,-103.2074,999.8289,-1,-0.02734375, -0.3920898, -0.7602539, 47.12672, 93.39297, -4.754531,3.805486,6,2,45
296,-96.80176,-90.37524,999.3642,-1,-0.3378906, -0.2294922, -0.1074219, -18.48266, 69.37734, -15.34828,3.805486,7,2,45
449,-78.73752,-60.67328,998.2886,-1,-0.109375, -0.2431641, -0.4272461, 33.82985, 20.48672, -2.051406,3.805486,8,2,45
513,-62.44887,-46.16022,997.7634,-1,-0.03710938, -0.2807617, 0.04882813, 12.92359, 8.830469, -6.082656,3.805486,9,2,45
583,-49.76434,-37.0798,997.4351,9.286449,-0.01269531, -0.2612305, 0.234375, 2.157969, 8.580469, 1.167344,3.805486,10,2,45
651,-35.8103,-21.85626,996.8845,-1,0.05273438, -0.1982422, 0.2680664, -5.685781, 8.096094, 0.04234385,3.805486,11,2,45
717,-24.73063,-13.65097,996.588,-1,0.04199219, -0.3574219, 0.2348633, -5.185781, 9.705469, 0.7298439,3.805486,12,2,45
787,-15.09247,-5.454315,996.2916,9.249709,-0.008300781, -0.1376953, 0.1987305, -7.951406, 13.36172, -1.285781,3.805486,13,2,45
858,-4.684787,5.7229,995.8879,-1,-0.04394531, -0.2236328, 0.1464844, -7.701406, 12.22109, 1.370469,3.805486,14,2,45
925,5.171904,15.02859,995.5519,-1,0.004882813, -0.2060547, 0.04101563, -7.951406, 11.18984, -1.473281,3.805486,15,2,45
996,15.14732,25.12274,995.1875,-1,-0.02880859, -0.125, 0.0703125, -6.107656, 5.252344, -0.5045311,5.171904,0,2,45
1068,24.63625,34.12518,994.8624,-1,-0.01660156, -0.144043, 0.015625, -1.842031, 0.3304687, -0.8639061,15.14732,0,2,45
1139,32.36131,40.08636,994.6473,-1,0.005859375, -0.1582031, 0.01416016, -0.1857812, -3.138281, -2.176406,24.63625,0,2,45
1210,40.62109,48.88086,994.3298,-1,-0.006835938, -0.1274414, 0.03271484, 0.8923437, -7.872656, -0.08265615,32.36131,0,2,45
1376,53.87469,67.1283,993.6718,9.231339,0.04541016, -0.1054688, 0.05859375, -2.045156, -14.70078, 1.589219,40.62109,0,2,45
1452,65.01138,76.14807,993.3467,-1,0.02636719, -0.08203125, 0.02490234, -0.9826563, -17.90391, 1.854844,53.87469,0,2,45
1528,73.30473,81.59808,993.1501,9.222154,0.01171875, -0.05517578, 0.04980469, -1.373281, -21.48203, 2.682969,65.01138,0,2,45
1605,81.16415,89.02356,992.8825,-1,0.0009765625, -0.05761719, 0.05664063, -4.779531, -25.12266, 1.698594,73.30473,0,2,45
1680,87.97047,94.77679,992.6754,-1,0.006835938, -0.04882813, 0.07275391, -4.482656, -27.26328, 2.870469,81.16415,0,2,45
1758,92.86393,97.75739,992.5679,-1,0.004882813, -0.04345703, 0.07910156, -6.248281, -30.88828, 3.745469,87.97047,0,2,45
1833,97.78438,102.7048,992.3896,-1,0.01171875, -0.03808594, 0.06542969, -7.404531, -35.24766, 5.276719,92.86393,0,2,45
1913,102.0295,106.2746,992.2611,9.194597,0.01855469, -0.02783203, 0.04443359, -7.467031, -39.12266, 7.057969,97.78438,0,2,45
1990,106.1925,110.3556,992.1142,-1,0.02148438, -0.01904297, 0.046875, -7.560781, -42.45078, 7.792344,102.0295,0,2,45
