time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
11,-0.5281219,1.768402,998.2776,28.28256,0.112793, 0.4741211, 0.9208984, -0.010625, 0.01906252, 0.09343743,0,0,1,False,False,0
94,0.6201401,-0.2157593,998.3493,-1,0.1123047, 0.4741211, 0.9228516, 0.020625, -0.1059375, 0.03093743,0,1,1,False,False,0
109,0.2021904,2.045654,998.2675,-1,0.1108398, 0.4736328, 0.9213867, -0.010625, -0.04343748, 0.06218743,0.6201401,0,1,False,False,0
178,1.123922,2.045654,998.2675,-1,0.1118164, 0.4746094, 0.921875, -0.010625, -0.02781248, -0.0003125668,0.6201401,1,1,False,False,0
245,1.584788,-0.7876282,998.3702,-1,0.1132813, 0.4736328, 0.9208984, -0.073125, -0.04343748, 0.01531243,1.123922,0,1,False,False,0
313,0.3985801,1.473816,998.2885,-1,0.1132813, 0.4746094, 0.9228516, 0.004999995, -0.04343748, 0.06218743,1.584788,0,1,False,False,0
378,0.936198,0.6246948,998.3192,-1,0.112793, 0.4731445, 0.921875, 0.020625, -0.04343748, -0.0003125668,1.584788,1,1,False,False,0
443,0.7804464,0.901947,998.3089,-1,0.1137695, 0.4750977, 0.9223633, 0.03625, -0.05906248, 0.03093743,1.584788,2,1,False,False,0
513,0.8411967,2.036987,998.2679,28.26884,0.1132813, 0.4741211, 0.9223633, 0.03625, -0.05906248, 0.01531243,1.584788,3,1,False,False,0
584,1.439092,0.901947,998.3089,28.2597,0.1132813, 0.4746094, 0.9199219, -0.010625, 0.003437519, 0.03093743,1.584788,4,1,False,False,0
651,1.17052,2.036987,998.2679,-1,0.1118164, 0.4755859, 0.9213867, 0.020625, -0.07468748, 0.06218743,1.584788,5,1,False,False,0
796,1.603753,-1.073547,998.3805,28.25055,0.1113281, 0.4741211, 0.9213867, 0.03625, -0.02781248, 0.03093743,1.584788,6,1,False,False,0
867,0.2651031,1.170563,998.2993,-1,0.1118164, 0.4736328, 0.9213867, 0.004999995, -0.05906248, 0.07781243,1.603753,0,1,False,True,0
936,0.7178329,2.019684,998.2684,28.25055,0.112793, 0.4736328, 0.9223633, -0.010625, -0.01218748, -0.0003125668,1.603753,1,1,False,True,0
1008,1.368758,0.89328,998.3094,-1,0.1123047, 0.4726563, 0.9238281, 0.0675, -0.07468748, 0.09343743,1.603753,2,1,False,True,0
1083,1.131019,-0.8136292,998.371,28.23226,0.1132813, 0.4736328, 0.9204102, -0.041875, -0.09031248, 0.04656243,1.603753,3,1,False,True,0
1158,0.158695,2.574188,998.2484,-1,0.1123047, 0.4741211, 0.9223633, 0.004999995, -0.1059375, 0.06218743,1.603753,4,1,False,True,0
1233,1.366442,1.447815,998.2892,-1,0.1137695, 0.4746094, 0.9233398, 0.16125, -0.02781248, 0.07781243,1.603753,5,1,False,True,0
1310,1.407128,0.875946,998.3098,28.22311,0.1118164, 0.4741211, 0.918457, -0.041875, -0.04343748, -0.0003125668,1.603753,6,1,False,True,0
1389,1.141537,-0.2504272,998.3508,28.22311,0.1123047, 0.4746094, 0.9228516, 0.004999995, -0.01218748, 0.03093743,1.603753,7,1,False,True,0
1465,0.445555,0.3127747,998.3304,-1,0.1132813, 0.4750977, 0.9228516, 0.083125, -0.01218748, 0.06218743,1.603753,8,1,False,True,0
1540,0.3791648,0.875946,998.3098,-1,0.1123047, 0.4731445, 0.9213867, 0.03625, -0.05906248, 0.01531243,1.603753,9,1,False,True,0
1616,0.6275554,-0.8222961,998.3714,-1,0.1147461, 0.4746094, 0.9194336, 0.004999995, 0.01906252, 0.04656243,1.603753,10,1,False,True,0
1695,-0.09737036,2.574188,998.2487,28.20939,0.1123047, 0.4746094, 0.9204102, -0.041875, -0.01218748, 0.01531243,1.603753,11,1,False,True,0
1851,1.238409,0.01815796,998.341,28.19567,0.1113281, 0.4741211, 0.9204102, 0.004999995, -0.01218748, 0.06218743,1.603753,12,1,False,True,0
1932,0.6282835,2.279602,998.2592,-1,0.112793, 0.4736328, 0.9208984, 0.020625, 0.003437519, 0.06218743,1.603753,13,1,False,True,0
2014,1.453943,2.565521,998.249,-1,0.1132813, 0.4760742, 0.9223633, 0.004999995, -0.01218748, 0.03093743,1.603753,14,1,False,True,0
2096,2.009732,0.5813599,998.3207,-1,0.1137695, 0.4746094, 0.9189453, -0.02625, -0.1059375, 0.09343743,1.603753,15,1,False,True,0
2179,1.295546,0.8499756,998.3109,28.18652,0.1142578, 0.4746094, 0.921875, -0.041875, 0.003437519, -0.0003125668,2.009732,0,1,False,True,0
2264,1.072761,2.262268,998.2597,28.18195,0.1123047, 0.4731445, 0.921875, -0.02625, -0.05906248, 0.04656243,2.009732,1,1,False,True,0
2394,1.667514,-0.8482971,998.3723,28.18652,0.1132813, 0.4746094, 0.9233398, 0.03625, -0.05906248, 0.03093743,2.009732,2,1,False,True,0
2465,0.4096087,-0.8482971,998.3723,28.18652,0.1132813, 0.4731445, 0.9199219, 0.004999995, -0.01218748, 0.07781243,2.009732,3,1,False,True,0
2530,-0.2193442,1.413147,998.2905,-1,0.112793, 0.4736328, 0.9208984, 0.004999995, -0.04343748, 0.06218743,2.009732,4,1,False,True,0
2596,0.5969014,-1.97467,998.4132,-1,0.1132813, 0.4741211, 0.9223633, -0.041875, -0.02781248, 0.04656243,2.009732,5,1,False,True,0
2661,-0.6888845,0.5726929,998.321,-1,0.1132813, 0.4746094, 0.9208984, -0.02625, -0.05906248, 0.03093743,2.009732,6,1,False,True,0
2727,-0.05809581,1.976349,998.2701,-1,0.1137695, 0.4750977, 0.9199219, 0.004999995, -0.02781248, 0.03093743,2.009732,7,1,False,True,0
2795,0.9591266,2.253601,998.26,-1,0.1137695, 0.4746094, 0.9223633, -0.010625, -0.09031248, 0.04656243,2.009732,8,1,False,True,0
2939,1.606364,0.8499756,998.3109,-1,0.112793, 0.4746094, 0.921875, -0.0575, 0.03468752, -0.01593757,2.009732,9,1,False,True,0
