time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
2730642,0.9873047,6.522629,998.3505,-1,0.1787109, 0.4848633, 0.9052734, -0.2154688, 0.08718729, 0.0453124,0,0,0,False,False,0
2730659,3.754967,5.950775,998.228,-1,0.1762695, 0.4848633, 0.8999023, -0.1060938, 0.04031229, 0.0296874,0.9873047,0,0,False,True,0
2730677,4.852871,9.537888,998.2079,27.12081,0.1796875, 0.4868164, 0.8955078, -0.07484376, 0.02468729, -0.0171876,3.754967,0,0,False,True,0
2730743,7.195379,17.76918,998.3198,-1,0.1801758, 0.4868164, 0.9023438, -0.02796876, -0.00656271, 0.0140624,4.852871,0,0,False,True,0
2730889,12.48228,33.46928,998.3505,27.11623,0.1811523, 0.4868164, 0.9008789, 0.003281236, -0.05343771, -0.0328126,7.195379,0,0,False,True,0
2730959,22.97578,44.23061,998.3706,27.11623,0.1796875, 0.4882813, 0.902832, 0.003281236, 0.00906229, -0.0171876,12.48228,0,2,False,True,0
2731031,33.6032,49.98385,998.3198,27.11623,0.1821289, 0.4873047, 0.9018555, 0.03453124, 0.00906229, -0.0171876,22.97578,0,2,False,True,0
2731100,41.79352,56.91546,998.228,27.11623,0.1796875, 0.4887695, 0.9033203, 0.003281236, 0.04031229, -0.001562595,33.6032,0,2,False,True,0
2731168,49.35449,66.29047,998.2789,-1,0.1791992, 0.487793, 0.902832, 0.03453124, -0.03781271, 0.0140624,41.79352,0,2,False,True,0
2731239,57.82248,69.3577,998.3505,-1,0.1811523, 0.4863281, 0.9008789, -0.01234376, -0.00656271, -0.0328126,49.35449,0,2,False,True,0
2731308,63.59009,74.33114,998.3505,-1,0.1791992, 0.4882813, 0.9038086, 0.06578124, 0.00906229, 0.0296874,57.82248,0,2,False,True,0
2731381,68.96062,81.22809,998.2483,27.11623,0.1801758, 0.4858398, 0.902832, 0.05015624, -0.06906271, 0.0296874,63.59009,0,2,False,True,0
2731454,75.09435,83.72347,998.3914,-1,0.1796875, 0.4868164, 0.9023438, 0.01890624, 0.02468729, -0.001562595,68.96062,0,2,False,True,0
2731525,79.40891,85.62967,998.3096,-1,0.1816406, 0.4868164, 0.9042969, 0.01890624, 0.00906229, -0.001562595,75.09435,0,2,False,True,0
2731600,82.51929,84.57259,998.3605,-1,0.1787109, 0.4882813, 0.9038086, 0.01890624, 0.02468729, -0.001562595,79.40891,0,2,False,True,0
2731765,83.54594,83.46353,998.228,27.12081,0.1816406, 0.4863281, 0.9038086, -0.04359376, -0.03781271, -0.0484376,82.51929,0,2,False,True,0
2731840,83.50474,78.52477,998.3096,-1,0.1816406, 0.487793, 0.9033203, -0.01234376, -0.02218771, 0.0140624,83.54594,0,2,False,True,0
2731917,81.01476,76.32397,998.2688,-1,0.1787109, 0.4873047, 0.9013672, 0.003281236, -0.00656271, -0.0171876,83.54594,1,2,False,True,0
2731996,78.66936,78.52477,998.3605,27.12081,0.1796875, 0.487793, 0.902832, 0.003281236, -0.02218771, 0.0453124,83.54594,2,2,False,True,0
2732077,78.59706,63.13658,998.2688,27.11623,0.1806641, 0.487793, 0.9038086, 0.01890624, 0.04031229, -0.001562595,83.54594,3,2,False,True,0
2732157,70.86682,57.62595,998.1973,27.11623,0.1791992, 0.4873047, 0.902832, -0.02796876, 0.00906229, -0.0171876,83.54594,4,2,False,True,0
2732237,64.24638,51.57812,998.228,27.12538,0.1801758, 0.4858398, 0.9018555, 0.03453124, 0.04031229, -0.0328126,83.54594,5,3,True,True,0
2732314,57.91225,52.18463,998.2483,-1,0.1791992, 0.4868164, 0.9018555, 0.003281236, 0.04031229, -0.001562595,83.54594,5,3,True,True,0
2732394,55.04844,51.69942,998.2584,-1,0.1801758, 0.487793, 0.9042969, 0.01890624, 0.02468729, -0.001562595,83.54594,5,3,True,True,0
2732476,53.37393,46.2581,998.3198,-1,0.1806641, 0.487793, 0.9033203, 0.03453124, 0.02468729, 0.0296874,83.54594,5,3,True,True,0
2732559,49.81602,38.87594,998.3198,-1,0.1791992, 0.487793, 0.902832, 0.03453124, -0.03781271, -0.001562595,83.54594,5,3,True,True,0
2732738,44.34598,42.74031,998.2483,-1,0.1796875, 0.4863281, 0.9008789, 0.03453124, 0.02468729, 0.0453124,83.54594,5,3,True,True,0
2732821,43.54314,36.44987,998.2584,-1,0.1806641, 0.4868164, 0.9033203, 0.01890624, -0.00656271, 0.0140624,83.54594,5,3,True,True,0
2732907,39.99651,31.84035,998.1973,27.12081,0.1782227, 0.4873047, 0.9042969, -0.01234376, 0.02468729, 0.0140624,83.54594,5,3,True,True,0
2733037,35.91843,33.26133,998.3298,-1,0.1801758, 0.4863281, 0.902832, -0.01234376, 0.00906229, 0.0140624,83.54594,5,3,True,True,0
