time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
10,-0.5788066,-1.7901,1009.646,11.70149,-1.262207, 15.99414, -6.050293, -26.31391, -82.18578, -20.0875,6.49617,1,1,50
25,-0.1663717,0.2460632,1009.571,11.67854,-1.691895, 15.99951, 0.387207, 20.65484, 481.033, 1.146875,6.49617,2,1,50
41,-0.9565722,-1.746773,1009.644,11.61886,-5.23291, 15.99951, 2.058105, 13.17047, 254.7205, 30.94375,6.49617,3,1,50
109,-3.413829,-5.871086,1009.795,-1,-0.1967773, 14.68506, -0.2910156, -18.40766, -376.967, -62.35313,6.49617,4,1,50
173,-0.5787979,2.256233,1009.498,-1,0.875, 4.305664, -0.3740234, 18.45172, -308.8733, 24.69375,6.49617,5,1,50
239,-0.6905716,-0.8023453,1009.609,11.0726,-0.5644531, 0.5141602, -1.612793, -50.15766, -286.6077, -21.94687,6.49617,6,1,50
306,3.382185,7.454941,1009.308,10.91192,0.6582031, -0.5825195, -1.177734, 29.57672, -222.8577, 8.6,6.49617,7,1,50
371,9.750823,16.11946,1008.991,10.80633,0.04882813, -0.7685547, 0.269043, -4.360781, -223.4827, 8.834375,6.49617,8,2,50
520,18.83568,27.92053,1008.561,-1,-0.08691406, -0.4970703, 0.06103516, 30.15484, -167.6077, -13.24375,9.750823,0,2,50
586,32.80077,46.76585,1007.873,10.59973,0.2744141, -0.6303711, 0.2954102, 17.76422, -157.5139, -4.36875,18.83568,0,2,50
654,44.0939,55.38704,1007.559,-1,-0.05273438, -0.46875, 0.2695313, 10.63922, -147.7952, -3.071875,32.80077,0,2,50
724,56.71541,69.33691,1007.05,10.52627,-0.08642578, -0.3515625, 0.4760742, 10.90484, -135.3264, -15.0875,44.0939,0,2,50
794,64.5901,72.4648,1006.936,10.5079,0.1542969, -0.1914063, 0.5209961, 2.107969, -120.3733, -3.025,56.71541,0,2,50
