time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.123978,6.522629,999.906,-1,0.1508789, 1.00293, 0.0078125, 7.399219, -5.515781, 13.18437,0,1,1,False,False,0
91,4.537376,5.950775,999.9464,-1,0.08544922, 0.9980469, 0.006835938, 7.336719, -5.515781, 10.825,3.123978,0,1,False,False,0
269,7.037632,9.537888,1000.027,-1,0.08154297, 1.0, 0.06152344, 7.492969, -2.797031, 9.684375,4.537376,0,1,False,False,0
436,12.40341,17.76918,1000.027,-1,0.015625, 0.9946289, -0.1201172, 7.571094, -0.3439064, 9.1375,7.037632,0,1,False,False,0
683,22.93634,33.46928,1000.037,-1,0.006347656, 1.007324, 0.06396484, 4.977344, 5.202969, 16.60625,12.40341,0,1,False,False,0
854,33.58348,44.23061,999.9473,20.82198,0.08691406, 1.003418, -0.05908203, 5.586719, -5.312656, 20.48125,22.93634,0,2,False,True,0
1026,41.78366,49.98385,999.8667,20.8174,0.1762695, 0.9799805, 0.02294922, 2.508594, -12.65641, 18.575,33.58348,0,2,False,True,0
1199,49.34956,56.91546,1000.048,-1,0.3320313, 0.9785156, 0.01171875, 3.602344, -13.85953, 10.23125,41.78366,0,2,False,True,0
1380,57.82001,66.29047,1000.119,-1,0.144043, 0.9897461, -0.04541016, 3.539844, -2.187656, 4.23125,49.34956,0,2,False,True,0
1563,63.58886,69.3577,999.9275,-1,0.152832, 1.012207, 0.02246094, -0.5539062, 3.249844, -3.01875,57.82001,0,2,False,True,0
1745,68.96,74.33114,1000.11,-1,0.078125, 0.9501953, -0.01660156, -0.2257812, 1.468594, -5.971875,63.58886,0,2,False,True,0
1933,75.09404,81.22809,999.9377,-1,-0.1987305, 0.8149414, 0.1030273, -2.335156, -4.281406, -6.175,68.96,0,2,False,True,0
2191,79.40875,83.72347,999.9886,20.85405,0.08300781, 0.9868164, -0.09912109, 0.1492188, -0.7345314, -5.7375,75.09404,0,2,False,True,0
2390,82.51921,85.62967,1000.039,20.85405,0.1220703, 0.9931641, 0.05175781, 2.227344, 2.968594, -6.346875,79.40875,0,2,False,True,0
2584,83.5459,84.57259,999.9483,20.84489,0.01513672, 0.9980469, 0.05664063, 4.836719, 1.937344, -3.784375,82.51921,0,2,False,True,0
2780,83.50471,83.46353,999.9689,-1,0.1123047, 1.095215, 0.0078125, 11.19609, -2.578281, -3.909375,83.5459,0,2,False,True,0
2982,81.01474,78.52477,999.8677,-1,0.02685547, 1.069824, -0.2172852, 9.852344, -0.0157814, -4.440625,83.5459,1,2,False,True,0
3184,78.66936,76.32397,1000.009,-1,0.1000977, 0.9960938, -0.1694336, -0.1007812, 0.5779686, -2.659375,83.5459,2,2,False,True,0
3386,78.59706,78.52477,1000.1,-1,0.09619141, 0.9790039, -0.07666016, -7.288281, 1.937344, -3.1125,83.5459,3,2,False,True,0
3691,70.86682,63.13658,1000.05,-1,0.06396484, 0.9892578, 0.005859375, -6.678906, 0.9998436, -2.596875,83.5459,4,2,False,True,0
3852,64.24638,57.62595,999.9689,-1,0.3125, 0.9873047, -0.1757813, -4.585156, -3.859531, -2.346875,83.5459,5,3,True,True,0
4019,57.91225,51.57812,999.9998,-1,0.1162109, 0.9892578, 0.05029297, -2.757031, 3.031094, -0.284375,83.5459,5,3,True,True,0
4187,55.04844,52.18463,999.9894,-1,-0.046875, 0.9907227, 0.003417969, -1.038281, 2.140469, -2.33125,83.5459,5,3,True,True,0
4358,53.37393,51.69942,999.9596,-1,0.2524414, 0.9814453, -0.01025391, 0.5710938, -2.906406, 5.2,83.5459,5,3,True,True,0
4528,49.81602,46.2581,999.9998,-1,0.05224609, 0.9946289, -0.04882813, -5.272656, 0.5467186, 2.246875,83.5459,5,3,True,True,0
4702,44.34598,38.87594,999.9294,20.88153,0.1938477, 1.008301, -0.2250977, -8.163281, -3.703281, -4.58125,83.5459,5,3,True,True,0
4883,43.54314,42.74031,999.9398,-1,0.159668, 0.980957, -0.06982422, -23.69453, -0.1876564, -10.33125,83.5459,5,3,True,True,0
5132,39.99651,36.44987,999.9906,-1,0.1557617, 1.003418, -0.08691406, -29.91328, 0.7654686, -18.75312,83.5459,5,3,True,True,0
5312,35.91843,31.84035,999.9503,-1,0.078125, 0.9506836, 0.2646484, -28.60078, 3.406094, -22.90937,83.5459,5,3,True,True,0
5494,34.58988,33.26133,1000.041,20.89069,-0.078125, 0.9853516, 0.1567383, -16.52266, 22.70297, -24.1125,83.5459,5,3,True,True,0
5682,31.86345,29.13702,999.9708,-1,-0.1801758, 1.023926, -0.02929688, -12.60078, 8.031094, -11.31563,83.5459,5,3,True,True,0
5869,27.34635,22.82925,999.9914,-1,-0.1191406, 0.9790039, 0.1054688, -9.772656, 0.3748436, 11.46562,83.5459,5,3,True,True,0
6060,23.7448,20.14326,1000.093,-1,-0.08349609, 1.002441, 0.1533203, -9.725781, 4.499844, 17.48125,83.5459,5,3,True,True,0
6252,20.57504,17.40527,999.9511,-1,-0.03125, 0.9692383, 0.2788086, -5.522656, -4.422031, 22.54375,83.5459,5,3,True,True,0
6519,17.09262,13.61021,999.9615,-1,0.1640625, 1.032715, 0.3256836, -0.8195313, -4.922031, 23.2,83.5459,5,3,True,True,0
6714,14.56294,12.03326,999.9315,-1,0.1523438, 0.9941406, 0.175293, 1.055469, 1.499844, 3.684375,83.5459,5,3,True,True,0
6914,11.66051,8.758087,999.9315,-1,0.04833984, 0.9536133, 0.2094727, -1.757031, 0.9998436, -1.721875,83.5459,5,3,True,True,0
7117,10.49523,9.329941,1000.053,-1,0.1313477, 0.9912109, 0.1894531, -5.647656, 2.984219, -8.08125,83.5459,5,3,True,True,0
7320,6.620066,2.744904,1000.013,20.9365,0.03857422, 0.9838867, 0.1777344, -3.053906, 5.343594, -12.53438,83.5459,5,3,True,True,0
7486,5.800206,4.980347,999.8922,20.92734,0.05664063, 0.984375, 0.2602539, -7.913281, 13.79672, -13.50313,83.5459,5,4,True,True,0
7653,4.98305,4.165894,1000.134,-1,-0.1396484, 0.9936523, 0.21875, -5.413281, 13.89047, -7.89375,83.5459,5,4,True,True,0
7833,4.167238,3.351425,999.9727,-1,0.03857422, 0.9790039, 0.296875, -4.444531, -3.781406, -4.659375,83.5459,5,4,True,True,0
8076,2.658937,1.150635,999.9738,20.93192,-0.01904297, 0.984375, 0.2285156, -0.1007812, -2.640781, -4.925,83.5459,5,4,True,True,0
8245,3.005181,3.351425,999.9832,-1,-0.05029297, 0.9887695, 0.2207031, 1.758594, -0.2345314, -1.08125,83.5459,5,4,True,True,0
8418,1.939274,0.8733673,999.9334,-1,-0.003417969, 0.9926758, 0.1733398, 1.274219, -2.500156, 1.465625,83.5459,5,4,True,True,0
8595,1.544955,1.150635,999.9841,20.9365,0.005859375, 0.9770508, 0.2670898, -1.960156, -0.8751564, -0.04999995,83.5459,5,4,True,True,0
8774,3.279985,5.015015,999.9934,20.94108,-0.005859375, 0.9873047, 0.2036133, 0.6179688, 0.1873436, -0.659375,83.5459,5,4,True,True,0
8952,2.076676,0.8733673,999.9128,-1,0.01611328, 0.9916992, 0.2119141, -1.444531, -2.515781, -3.675,83.5459,5,4,True,True,0
9133,2.991311,3.905945,999.9841,-1,-0.06054688, 0.9887695, 0.2285156, 2.649219, 0.1717186, 3.153125,83.5459,5,4,True,True,0
