time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
10,2.196676,4.417168,1015.73,-1,0.7412109, 15.99805, 0.2910156, 2.586875, -59.62594, 0.04718757,9.149079,1,1,False,False,177
130,-0.9300241,-4.056725,1016.041,50.99504,0.5981445, 15.97461, 0.3125, 48.165, -66.89156, -10.67156,9.149079,2,1,False,False,177
145,-0.6651616,-0.4002991,1015.906,-1,0.7783203, 13.33984, -0.03466797, 66.96188, -107.8759, -16.32781,9.149079,3,1,False,False,177
229,8.019146,16.70345,1015.278,-1,1.112793, 0.8500977, 1.905762, 83.36813, -161.8134, -59.90594,9.149079,4,1,False,False,177
296,5.438349,2.857552,1015.787,-1,2.127441, -1.366211, 2.233398, 82.165, -68.40719, -35.45281,9.149079,5,1,False,False,177
364,9.831874,14.2254,1015.369,-1,1.500977, -1.625488, 2.638184, 84.27438, 45.42094, -3.655937,9.149079,6,2,False,False,177
434,14.83594,19.84001,1015.163,49.80276,-0.5268555, -1.276367, 2.291504, 83.82125, 204.0616, 12.70344,9.831874,0,2,False,False,177
503,24.20027,33.5646,1014.66,-1,-1.838867, -0.9384766, 3.305176, 69.83688, 186.9991, 14.34406,14.83594,0,2,False,False,177
573,35.14688,46.09349,1014.201,49.40678,-0.675293, -0.8720703, 3.532715, 56.08688, -127.4697, -15.67156,24.20027,0,2,False,False,177
645,41.56462,47.98235,1014.131,-1,0.9506836, -1.389648, 2.97168, 52.8525, -117.6728, -37.81219,35.14688,0,2,False,False,177
814,57.09443,72.62424,1013.229,-1,0.01513672, -0.9189453, 2.52832, 63.415, 49.46781, -2.359062,41.56462,0,2,False,False,177
884,70.11003,83.12563,1012.844,-1,0.1821289, -0.8759766, 2.252441, 73.89938, 53.42094, 6.328438,57.09443,0,2,False,True,177
954,79.32549,88.54095,1012.645,-1,0.07177734, -0.5341797, 2.590332, 78.13375, -120.8603, 11.26594,70.11003,0,2,False,True,177
1027,84.05452,88.78355,1012.637,-1,0.96875, -0.5336914, 1.899414, 79.2275, -251.8134, -3.671562,79.32549,0,2,False,True,177
1098,89.3953,94.73608,1012.419,-1,1.210449, -0.5649414, 2.152344, 89.71188, -170.1572, -1.359062,84.05452,0,2,False,True,177
1169,95.67446,101.9536,1012.155,-1,1.018066, -0.5268555, 1.501953, 72.05563, -25.31344, 41.32844,89.3953,0,2,False,True,177
1241,100.9455,106.2166,1011.999,-1,0.171875, -0.5688477, 1.522461, 63.11813, 87.90531, -2.234062,95.67446,0,2,False,True,177
1317,107.0555,113.1655,1011.744,-1,0.3427734, -1.099121, 2.405762, 114.4619, 101.3272, -60.64031,100.9455,0,2,False,True,177
1392,111.4795,115.9035,1011.644,-1,0.3012695, -0.3774414, 1.678223, 103.7744, 63.42094, -87.85906,107.0555,0,2,False,True,177
1466,112.8207,114.1619,1011.708,-1,0.2431641, -0.1835938, 1.367188, 58.11813, -1.016562, -69.31219,111.4795,0,2,False,True,177
1542,116.9485,121.0762,1011.455,-1,0.09179688, -0.2866211, 0.6591797, 14.77437, -25.90719, -59.23406,112.8207,0,2,False,True,177
1618,118.6311,120.3137,1011.483,-1,0.2734375, -0.2998047, 0.7490234, -8.100625, 43.74906, -67.74969,116.9485,0,2,False,True,177
1805,122.9772,127.3233,1011.226,-1,0.2495117, -0.1884766, 0.3764648, 16.13375, 167.3584, -29.74969,118.6311,0,2,False,True,177
1884,124.7517,126.5262,1011.256,47.8726,0.1748047, -0.1855469, 0.34375, 23.71188, 171.9053, -17.59344,122.9772,0,2,False,True,177
1964,125.6389,126.5262,1011.256,47.89082,0.1953125, -0.2148438, 0.34375, 26.02438, 173.0303, -6.093437,124.7517,0,2,False,True,177
2045,125.4977,125.3565,1011.298,-1,0.1318359, -0.1816406, 0.2451172, 27.99313, 134.1241, 1.765938,125.6389,0,2,False,True,177
2125,125.2105,124.9232,1011.314,-1,0.0078125, -0.1791992, 0.3652344, 28.99313, 98.70219, 5.422188,125.6389,1,2,False,True,177
2206,124.0488,122.8871,1011.389,-1,0.1083984, -0.1928711, 0.3779297, 30.07125, 70.43656, 5.828438,125.6389,2,2,False,True,177
2289,123.2946,122.5405,1011.401,-1,0.1450195, -0.2412109, 0.2910156, 31.49313, 45.13969, 5.922188,125.6389,3,2,False,True,177
2370,121.0027,118.7108,1011.541,-1,0.152832, -0.2075195, 0.3300781, 31.33688, 23.17094, 7.109688,125.6389,4,2,False,True,177
2452,120.1384,119.274,1011.521,-1,0.2836914, -0.1875, 0.3623047, 31.44625, 8.280313, 10.17219,125.6389,5,3,True,True,177
2587,117.2888,114.4392,1011.698,48.12302,0.3735352, -0.2060547, 0.3525391, 33.79, 9.702188, 17.71906,125.6389,5,3,True,True,177
2653,114.7029,112.1171,1011.783,-1,0.3574219, -0.2182617, 0.3959961, 36.80563, 12.88969, 22.23469,125.6389,5,3,True,True,177
2715,110.8193,106.9357,1011.972,-1,0.3852539, -0.2666016, 0.4125977, 38.9775, 3.920938, 24.39094,125.6389,5,3,True,True,177
2888,104.7142,98.60912,1012.277,-1,0.2514648, -0.3310547, 0.4755859, 46.9775, -62.95406, 28.51594,125.6389,5,3,True,True,177
2962,99.89844,95.08266,1012.406,47.97277,0.4921875, -0.2099609, 0.3935547, 58.7275, -60.45406, 29.81281,125.6389,5,3,True,True,177
