time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,3.428535,6.522629,991.6909,-1,0.08349609, -0.01611328, 1.041504, -0.3125, -0.07890606, -0.01874995,0.3344421,0,2,0
91,4.689655,5.950775,991.7516,-1,0.08251953, -0.01611328, 1.044922, 0.15625, -0.01640606, 0.01250005,3.428535,0,2,0
269,7.113771,9.537888,991.8018,-1,0.08300781, -0.01757813, 1.042969, -0.03125, 0.07734394, 0.02812505,4.689655,0,2,0
436,12.44148,17.76918,991.842,-1,0.08251953, -0.01708984, 1.045898, -0.046875, 0.2960939, -0.03437495,7.113771,0,2,0
683,22.95538,33.46928,991.7114,19.49335,0.08349609, -0.01855469, 1.042969, 0.0625, -0.0007810593, -0.04999995,12.44148,0,2,0
854,33.59299,44.23061,991.7225,-1,0.08203125, -0.01904297, 1.049805, -0.09375, 0.4523439, 0.05937505,22.95538,0,2,0
1026,41.78842,49.98385,991.702,19.51167,0.08740234, -0.01367188, 1.046387, -0.046875, -0.1882811, -0.01874995,33.59299,0,2,0
1199,49.35194,56.91546,991.8029,19.50709,0.08398438, -0.01806641, 1.042969, 0.0, -0.1257811, -0.03437495,41.78842,0,2,0
1380,57.82121,66.29047,991.6824,19.51167,0.08789063, -0.015625, 1.046387, -0.078125, -0.03203106, -0.04999995,49.35194,0,2,0
1563,63.58945,69.3577,991.7522,19.51626,0.08203125, -0.01904297, 1.048828, 0.0625, 0.03046894, -0.003124952,57.82121,0,2,0
1745,68.9603,74.33114,991.7728,19.51167,0.08349609, -0.01904297, 1.041504, -0.046875, -0.06328106, -0.003124952,63.58945,0,2,0
1933,75.09419,81.22809,991.813,19.51626,0.08398438, -0.01708984, 1.046387, -0.015625, -0.09453106, -0.003124952,68.9603,0,2,0
2191,79.40883,83.72347,991.7728,-1,0.08544922, -0.01611328, 1.04541, -0.015625, -0.03203106, 0.05937505,75.09419,0,2,0
2390,82.51925,85.62967,991.7429,-1,0.08544922, -0.01513672, 1.044434, -0.0625, -0.09453106, 0.02812505,79.40883,0,2,0
2584,83.54592,84.57259,991.7728,-1,0.08447266, -0.01757813, 1.047363, -0.015625, 0.09296894, 0.02812505,82.51925,0,2,0
2780,83.50473,83.46353,991.6627,-1,0.08349609, -0.01708984, 1.04541, 0.046875, 0.1867189, -0.003124952,83.54592,0,2,0
2982,81.01476,78.52477,991.8233,-1,0.08300781, -0.01660156, 1.043945, 0.03125, 0.2804689, 0.04375005,83.54592,1,2,0
3184,78.66936,76.32397,991.9542,-1,0.08251953, -0.01611328, 1.04541, 0.015625, 0.1554689, -0.04999995,83.54592,2,2,0
3386,78.59706,78.52477,991.7935,-1,0.08544922, -0.01611328, 1.045898, 0.140625, -0.1101561, -0.003124952,83.54592,3,2,0
3691,70.86682,63.13658,991.813,-1,0.08398438, -0.01855469, 1.04541, -0.0625, 0.3429689, 0.02812505,83.54592,4,2,0
3852,64.24638,57.62595,991.7326,19.52084,0.08496094, -0.015625, 1.043945, 0.078125, -0.1570311, 0.01250005,83.54592,5,3,0
4019,57.91225,51.57812,991.9637,-1,0.08203125, -0.01855469, 1.047852, -0.015625, 0.03046894, -0.003124952,83.54592,5,3,0
4187,55.04844,52.18463,991.7326,-1,0.08251953, -0.01660156, 1.044434, 0.109375, 0.04609394, -0.01874995,83.54592,5,3,0
4358,53.37393,51.69942,991.7935,19.53458,0.08642578, -0.01757813, 1.05127, -0.125, 0.1554689, -0.01874995,83.54592,5,3,0
4528,49.81602,46.2581,991.7326,-1,0.08300781, -0.01953125, 1.04541, 0.09375, -0.1101561, -0.08124995,83.54592,5,3,0
4702,44.34598,38.87594,991.6627,-1,0.08544922, -0.01953125, 1.046875, -0.0625, 0.5929689, 0.05937505,83.54592,5,3,0
4883,43.54314,42.74031,991.7737,-1,0.09277344, -0.01074219, 1.04248, 0.359375, -0.3914061, -0.01874995,83.54592,5,3,0
5132,39.99651,36.44987,991.7737,19.54375,0.08251953, -0.02001953, 1.045898, -0.09375, 0.1867189, 0.01250005,83.54592,5,3,0
