time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
265097,-1.407974,6.522629,998.2733,27.50047,0.09521484, 0.190918, -0.9306641, 0.02984381, -0.2901564, 0.08578134,0,0,2,False,False,0
265111,2.557327,5.950775,998.1815,-1,0.1098633, 0.1894531, -0.9399414, -0.03265619, 0.1473436, -0.1017187,0,1,2,False,True,0
265124,4.254051,9.537888,998.2017,-1,0.1171875, 0.1772461, -0.9257813, 0.4985938, 0.6629686, -0.3517187,2.557327,0,2,False,True,0
265187,6.895969,17.76918,998.2324,-1,0.1108398, 0.1787109, -0.9375, -0.1107812, -0.1807814, 0.1170313,4.254051,0,2,False,True,0
265210,12.33257,33.46928,998.2733,27.50962,0.1123047, 0.1826172, -0.9282227, 0.2954688, 0.5223436, -0.2110937,6.895969,0,2,False,True,0
265276,22.90093,44.23061,998.2324,27.51876,0.1118164, 0.1806641, -0.9335938, 0.02984381, 0.08484364, -0.03921866,12.33257,0,2,False,True,0
265293,33.56577,49.98385,998.3242,-1,0.109375, 0.1816406, -0.9345703, -0.001406193, -0.07140636, 0.05453134,22.90093,0,2,False,True,0
265306,41.77481,56.91546,998.1507,-1,0.1088867, 0.1796875, -0.9296875, 0.1704688, 0.1160936, -0.007968664,33.56577,0,2,False,True,0
265327,49.34513,66.29047,998.1302,-1,0.1132813, 0.1821289, -0.9350586, -0.1264062, 0.06921864, 0.03890634,41.77481,0,2,False,True,0
265398,57.8178,69.3577,998.1916,27.50962,0.1132813, 0.1796875, -0.9345703, -0.03265619, -0.1026564, 0.02328134,49.34513,0,2,False,True,0
265412,63.58775,74.33114,998.1099,-1,0.1118164, 0.1801758, -0.9326172, 0.06109381, -0.02453136, -0.007968664,57.8178,0,2,False,True,0
265427,68.95944,81.22809,998.2833,27.50962,0.1137695, 0.1806641, -0.9321289, 0.2485938, 0.1629686, -0.1017187,63.58775,0,2,False,True,0
265448,75.09377,83.72347,998.2017,-1,0.1142578, 0.1791992, -0.9331055, -0.001406193, -0.1495314, 0.05453134,68.95944,0,2,False,True,0
265519,79.40862,85.62967,998.2219,-1,0.1069336, 0.1791992, -0.9277344, -0.5170312, -0.1495314, 0.07015634,75.09377,0,2,False,True,0
265535,82.51914,84.57259,998.2833,-1,0.1000977, 0.1875, -0.9189453, 0.6392188, 0.4910936, -0.1173437,79.40862,0,2,False,True,0
265549,83.54587,83.46353,998.1609,-1,0.1044922, 0.184082, -0.9458008, -0.5639062, -0.6182814, 0.2732813,82.51914,0,2,False,True,0
265569,83.5047,78.52477,998.2223,-1,0.1137695, 0.1821289, -0.9179688, 0.5923438, 0.4754686, -0.2735937,83.54587,0,2,False,True,0
265641,81.01474,76.32397,998.1916,-1,0.1040039, 0.1782227, -0.9394531, -0.2201562, -0.2432814, 0.1951563,83.54587,1,2,False,True,0
265655,78.66936,78.52477,998.2733,-1,0.1123047, 0.1831055, -0.9267578, 0.3892188, 0.4598436, -0.2110937,83.54587,2,2,False,True,0
265670,78.59706,63.13658,998.1815,27.50962,0.1171875, 0.1801758, -0.9296875, 0.3423438, 0.5379686, -0.2892187,83.54587,3,2,False,True,0
265690,70.86682,57.62595,998.2833,-1,0.109375, 0.1782227, -0.9360352, 0.07671881, -0.008906364, 0.007656336,83.54587,4,2,False,True,0
265766,64.24638,51.57812,998.2425,-1,0.109375, 0.1821289, -0.9345703, -0.07953119, -0.1182814, 0.05453134,83.54587,5,3,True,True,0
265782,57.91225,52.18463,998.2527,-1,0.1103516, 0.1826172, -0.9331055, 0.1079688, 0.1629686, -0.02359366,83.54587,5,3,True,True,0
265796,55.04844,51.69942,998.2733,-1,0.1079102, 0.1821289, -0.9277344, 0.2954688, 0.1317186, -0.08609366,83.54587,5,3,True,True,0
265816,53.37393,46.2581,998.2425,-1,0.1049805, 0.1850586, -0.9379883, -0.3607812, -0.1964064, 0.07015634,83.54587,5,3,True,True,0
265893,49.81602,38.87594,998.1302,-1,0.1098633, 0.1787109, -0.9316406, -0.1889062, -0.1651564, 0.1326563,83.54587,5,3,True,True,0
265906,44.34598,42.74031,998.1406,-1,0.1113281, 0.1796875, -0.9345703, -0.1107812, -0.1182814, 0.03890634,83.54587,5,3,True,True,0
265921,43.54314,36.44987,998.1916,27.51419,0.1157227, 0.1811523, -0.9282227, 0.2642188, 0.2723436, -0.1485937,83.54587,5,3,True,True,0
265942,39.99651,31.84035,998.1609,-1,0.1108398, 0.1801758, -0.9350586, -0.1576562, -0.2120314, 0.07015634,83.54587,5,3,True,True,0
266023,35.91843,33.26133,998.2425,27.50962,0.112793, 0.1821289, -0.9316406, 0.02984381, 0.05359364, -0.07046866,83.54587,5,3,True,True,0
266089,34.58988,29.13702,998.3036,-1,0.1098633, 0.1826172, -0.9311523, -0.01703119, 0.006718636, 0.05453134,83.54587,5,3,True,True,0
266103,31.86345,22.82925,998.1609,-1,0.109375, 0.1806641, -0.9335938, 0.06109381, 0.02234364, -0.05484366,83.54587,5,3,True,True,0
266123,27.34635,20.14326,998.2936,-1,0.1137695, 0.1801758, -0.9291992, 0.09234381, 0.1317186, -0.08609366,83.54587,5,3,True,True,0
266184,23.7448,17.40527,998.1302,-1,0.112793, 0.1811523, -0.9321289, 0.06109381, 0.1004686, -0.05484366,83.54587,5,3,True,True,0
266198,20.57504,13.61021,998.3036,-1,0.1098633, 0.1826172, -0.934082, -0.04828119, -0.08703136, 0.03890634,83.54587,5,3,True,True,0
266213,17.09262,12.03326,998.3036,27.51876,0.1088867, 0.1821289, -0.9316406, -0.01703119, 0.1004686, -0.1017187,83.54587,5,3,True,True,0
266234,14.56294,8.758087,998.3041,-1,0.1108398, 0.1811523, -0.9301758, 0.04546881, 0.06921864, -0.05484366,83.54587,5,3,True,True,0
266301,11.66051,9.329941,998.2833,-1,0.1108398, 0.1806641, -0.9331055, -0.01703119, -0.04015636, 0.02328134,83.54587,5,3,True,True,0
266314,10.49523,2.744904,998.2936,-1,0.1113281, 0.1811523, -0.9316406, 0.01421881, 0.1004686, -0.007968664,83.54587,5,3,True,True,0
266329,6.620066,4.980347,998.2425,27.51419,0.109375, 0.1811523, -0.9316406, 0.01421881, 0.02234364, -0.007968664,83.54587,5,3,True,True,0
266350,5.800206,4.165894,998.2017,-1,0.1088867, 0.1806641, -0.9331055, -0.01703119, 0.03796864, -0.007968664,83.54587,5,4,True,True,0
266415,4.98305,3.351425,998.2017,-1,0.1113281, 0.1811523, -0.9331055, 0.1235938, 0.006718636, -0.02359366,83.54587,5,4,True,True,0
266430,4.167238,1.150635,998.2936,27.51419,0.1113281, 0.1811523, -0.9316406, 0.02984381, -0.02453136, -0.03921866,83.54587,5,4,True,True,0
266445,2.658937,3.351425,998.2425,27.51419,0.109375, 0.1816406, -0.9316406, 0.02984381, 0.06921864, -0.007968664,83.54587,5,4,True,True,0
266547,3.005181,0.8733673,998.1609,27.50962,0.1118164, 0.1826172, -0.9335938, 0.04546881, -0.008906364, -0.007968664,83.54587,5,4,True,True,0
266619,1.939274,1.150635,998.2527,-1,0.1098633, 0.1835938, -0.9306641, -0.04828119, 0.1160936, -0.03921866,83.54587,5,4,True,True,0
266632,1.544955,5.015015,998.3036,-1,0.1098633, 0.1826172, -0.9306641, -0.001406193, 0.06921864, 0.007656336,83.54587,5,4,True,True,0
266646,3.279985,0.8733673,998.2936,-1,0.1108398, 0.1796875, -0.9321289, 0.04546881, -0.008906364, -0.02359366,83.54587,5,4,True,True,0
266668,2.076676,3.905945,998.2936,27.50962,0.1113281, 0.1811523, -0.9335938, 0.1079688, 0.06921864, -0.02359366,83.54587,5,4,True,True,0
