time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,2.893505,6.522629,1007.579,-1,0.4868164, -0.1933594, 0.9018555, -0.5490625, -0.223906, -2.771719,0,1,2,0
91,4.42214,5.950775,1007.72,-1,0.4326172, -0.1938477, 0.9213867, -1.377187, -1.723906, -2.193594,2.893505,0,2,0
269,6.980014,9.537888,1007.68,-1,0.4584961, -0.1967773, 0.9140625, -1.533437, -3.427031, -1.881094,4.42214,0,2,0
436,12.3746,17.76918,1007.659,19.18633,0.4804688, -0.2109375, 0.9033203, -1.720937, -3.005156, -1.959219,6.980014,0,2,0
683,22.92194,33.46928,1007.639,-1,0.4692383, -0.1928711, 0.918457, -1.205312, -1.864531, -1.631094,12.3746,0,2,0
854,33.57627,44.23061,1007.669,19.19549,0.4550781, -0.2021484, 0.9150391, -1.049062, -2.880156, -1.584219,22.92194,0,2,0
1026,41.78006,49.98385,1007.659,-1,0.4682617, -0.206543, 0.9057617, -1.642812, -3.348906, -1.443594,33.57627,0,2,0
1199,49.34776,56.91546,1007.72,19.19091,0.4536133, -0.2080078, 0.9150391, -0.5021875, -1.645781, -1.365469,41.78006,0,2,0
1380,57.81911,66.29047,1007.709,19.19091,0.4594727, -0.2001953, 0.9189453, -0.6740625, -1.411406, -1.771719,49.34776,0,2,0
1563,63.58841,69.3577,1007.629,-1,0.4555664, -0.203125, 0.9169922, -0.9084375, -2.052031, -1.662344,57.81911,0,2,0
1745,68.95977,74.33114,1007.709,19.19091,0.456543, -0.2016602, 0.9179688, -0.9709375, -2.145781, -1.631094,63.58841,0,2,0
1933,75.09393,81.22809,1007.68,-1,0.456543, -0.2036133, 0.9135742, -1.252187, -2.630156, -1.693594,68.95977,0,2,0
2191,79.40871,83.72347,1007.709,-1,0.4584961, -0.2050781, 0.9169922, -1.330312, -2.864531, -1.693594,75.09393,0,2,0
2390,82.51919,85.62967,1007.68,19.18633,0.4570313, -0.203125, 0.9135742, -1.502187, -3.645781, -1.646719,79.40871,0,2,0
