time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.08326,6.522629,1002.228,-1,-0.008300781, 0.03417969, 1.020508, -0.02359378, 0.1442189, 0.3456249,0,1,2,False,False,0
91,4.517017,5.950775,1002.177,-1,-0.0009765625, 0.01953125, 1.052246, 0.05453122, 0.06609392, 0.06437492,3.08326,0,2,False,False,0
269,7.027452,9.537888,1002.289,23.10724,0.006835938, 0.01806641, 1.047363, 0.4295312, -0.2932811, 0.2831249,4.517017,0,2,False,False,0
436,12.39832,17.76918,1002.208,23.10724,0.002929688, 0.02587891, 1.036133, 0.1795312, -0.02765608, 0.2206249,7.027452,0,2,False,False,0
683,22.9338,33.46928,1002.148,-1,-0.01367188, 0.03710938, 1.037109, -0.2423438, 0.3160939, 0.07999992,12.39832,0,2,False,False,0
854,33.5822,44.23061,1002.148,-1,-0.009765625, 0.02490234, 1.067383, -0.1485938, 0.2379689, 0.1893749,22.9338,0,2,False,True,0
1026,41.78303,49.98385,1002.158,23.13013,0.0, 0.02294922, 1.054199, -0.1954688, 0.2223439, 0.1424999,33.5822,0,2,False,True,0
1199,49.34924,56.91546,1002.24,23.14387,-0.0009765625, 0.02050781, 1.044922, 0.1014062, -0.07453108, 0.1581249,41.78303,0,2,False,True,0
1380,57.81985,66.29047,1002.139,-1,-0.004394531, 0.01757813, 1.123047, 0.2889062, -0.05890608, 0.1737499,49.34924,0,2,False,True,0
1563,63.58878,69.3577,1002.129,-1,0.008300781, 0.03271484, 0.9643555, -0.4923438, -1.668281, -0.01375008,57.81985,0,2,False,True,0
1745,68.95996,74.33114,1002.22,-1,0.001953125, 0.02783203, 0.9892578, -0.3985938, 0.3160939, 0.2831249,63.58878,0,2,False,True,0
1933,75.09402,81.22809,1002.139,23.16218,-0.006835938, 0.02587891, 1.058594, 0.1014062, 0.08171892, 0.2987499,68.95996,0,2,False,True,0
2191,79.40875,83.72347,1002.129,-1,-0.006347656, 0.01513672, 1.088867, -0.4923438, 0.6754689, 0.5643749,75.09402,0,2,False,True,0
2390,82.51921,85.62967,1002.15,-1,-0.002441406, -0.004882813, 1.147949, -2.086094, -0.3870311, 0.5331249,79.40875,0,2,False,True,0
2584,83.5459,84.57259,1002.211,-1,0.04101563, 0.01904297, 0.7231445, -3.054844, -43.13703, -1.154375,82.51921,0,2,False,True,0
2780,83.50471,83.46353,1002.211,-1,-0.07568359, -0.001953125, 1.306641, 9.288906, 75.98797, 3.408125,83.5459,0,2,False,True,0
2982,81.01474,78.52477,1002.252,-1,-0.0625, 0.02685547, 1.443848, 4.820156, 8.362968, 2.376875,83.5459,1,2,False,True,0
3184,78.66936,76.32397,1002.13,-1,-0.002441406, 0.04638672, 1.013672, -1.164219, -3.465156, -0.2950001,83.5459,2,2,False,True,0
3386,78.59706,78.52477,1002.252,23.19881,-0.004394531, 0.03613281, 1.022461, 4.695156, -3.558906, 0.9237499,83.5459,3,2,False,True,0
3691,70.86682,63.13658,1002.202,-1,-0.008300781, 0.02246094, 1.08252, 0.5545312, -0.3089061, 0.2518749,83.5459,4,2,False,True,0
3852,64.24638,57.62595,1002.121,-1,-0.004394531, 0.03222656, 1.057617, -1.226719, 0.9879689, -0.2168751,83.5459,5,3,True,True,0
4019,57.91225,51.57812,1002.252,-1,0.0009765625, 0.01806641, 1.066406, -0.4923438, 0.5660939, 0.2206249,83.5459,5,3,True,True,0
4187,55.04844,52.18463,1002.172,23.22628,0.004394531, 0.02392578, 1.035645, 0.6795312, -0.5120311, 0.5331249,83.5459,5,3,True,True,0
4358,53.37393,51.69942,1002.253,23.23544,0.002929688, 0.02783203, 1.020508, 2.492031, -1.965156, 0.5643749,83.5459,5,3,True,True,0
4528,49.81602,46.2581,1002.233,-1,-0.009765625, 0.02392578, 1.075684, -2.007969, 1.941094, 0.04874992,83.5459,5,3,True,True,0
4702,44.34598,38.87594,1002.263,23.24459,-0.004882813, 0.02441406, 1.040039, 0.6482812, -0.4964061, 0.2049999,83.5459,5,3,True,True,0
4883,43.54314,42.74031,1002.132,23.25375,-0.003417969, 0.02636719, 1.061523, -1.554844, 1.206719, -0.02937508,83.5459,5,3,True,True,0
5132,39.99651,36.44987,1002.193,23.25375,0.0004882813, 0.02099609, 1.060059, 0.02328122, 0.06609392, 0.2049999,83.5459,5,3,True,True,0
5312,35.91843,31.84035,1002.234,-1,0.002929688, 0.02587891, 1.035156, 1.242031, -0.8557811, 0.3456249,83.5459,5,3,True,True,0
5494,34.58988,33.26133,1002.254,-1,-0.001953125, 0.02392578, 1.053223, -0.8517188, 0.8004689, 0.2518749,83.5459,5,3,True,True,0
5682,31.86345,29.13702,1002.113,-1,-0.002441406, 0.02685547, 1.040527, 0.8826562, -0.6526561, 0.2362499,83.5459,5,3,True,True,0
5869,27.34635,22.82925,1002.214,-1,-0.006347656, 0.02246094, 1.055176, -0.8204688, 0.7692189, 0.1581249,83.5459,5,3,True,True,0
6060,23.7448,20.14326,1002.255,-1,-0.0009765625, 0.02685547, 1.04541, -0.4298438, 0.4098439, 0.03312492,83.5459,5,3,True,True,0
6252,20.57504,17.40527,1002.214,23.2858,0.0009765625, 0.02441406, 1.044434, 0.07015622, -0.01203108, 0.2206249,83.5459,5,3,True,True,0
6519,17.09262,13.61021,1002.184,-1,-0.0004882813, 0.02490234, 1.046387, -0.2423438, 0.3004689, 0.1893749,83.5459,5,3,True,True,0
6714,14.56294,12.03326,1002.286,23.30869,0.0, 0.02685547, 1.041016, 0.3201562, -0.1526561, 0.1581249,83.5459,5,3,True,True,0
6914,11.66051,8.758087,1002.235,-1,-0.001464844, 0.02490234, 1.053223, -0.4610938, 0.5348439, 0.1737499,83.5459,5,3,True,True,0
7117,10.49523,9.329941,1002.185,-1,-0.004882813, 0.02441406, 1.040039, 0.4920312, -0.2932811, 0.2206249,83.5459,5,3,True,True,0
7320,6.620066,2.744904,1002.104,-1,-0.004394531, 0.02783203, 1.05127, -0.2735938, 0.3317189, 0.1112499,83.5459,5,3,True,True,0
7486,5.800206,4.980347,1002.205,23.32701,-0.002929688, 0.02587891, 1.047363, 0.2420312, -0.1526561, 0.1581249,83.5459,5,4,True,True,0
7653,4.98305,4.165894,1002.216,23.32243,0.001464844, 0.02246094, 1.039551, 0.2576562, -0.2932811, 0.1893749,83.5459,5,4,True,True,0
7833,4.167238,3.351425,1002.196,23.32701,0.0, 0.02441406, 1.054199, -0.3360938, 0.3160939, 0.1424999,83.5459,5,4,True,True,0
