time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
12,0.1533508,6.522629,1003.163,-1,-0.234375, 0.996582, 0.02441406, -4.183125, -23.32875, 1.173906,0,0,1,False,False,0
27,3.33799,5.950775,1003.335,23.50098,0.06201172, 1.036621, 0.02246094, -3.183125, 26.78062, -17.95109,0.1533508,0,1,False,False,0
42,4.644382,9.537888,1003.285,23.50098,0.1123047, 0.9511719, 0.09228516, 3.410625, 32.03062, -15.38859,3.33799,0,1,False,False,0
110,7.091135,17.76918,1003.285,-1,0.01269531, 0.9916992, 0.1821289, 5.941875, 44.03062, -7.857344,4.644382,0,1,False,False,0
131,12.43016,33.46928,1003.305,-1,-0.1484375, 0.9375, 0.2583008, 9.566875, 7.655625, 10.97078,7.091135,0,1,False,False,0
192,22.94972,44.23061,1003.265,-1,0.2441406, 0.9887695, 0.2011719, 17.9575, 42.015, -5.044844,12.43016,0,2,False,False,0
205,33.59016,49.98385,1003.356,-1,0.2216797, 0.9609375, 0.1870117, 2.441875, -30.5475, -8.138594,22.94972,0,2,False,False,0
222,41.78701,56.91546,1003.194,-1,-0.1601563, 1.005371, -0.01123047, -9.7925, -75.95375, 0.4864063,33.59016,0,2,False,False,0
331,49.35123,66.29047,1003.173,23.51013,-0.1889648, 1.01709, 0.0009765625, 0.08249998, -2.1725, 9.142656,41.78701,0,2,False,False,0
403,57.82085,69.3577,1003.285,-1,-0.1098633, 0.996582, 0.09277344, -1.589375, 0.9368749, 9.830156,49.35123,0,2,False,True,0
416,63.58927,74.33114,1003.265,-1,-0.1176758, 0.9614258, 0.1381836, -0.82375, 4.98375, 5.970781,57.82085,0,2,False,True,0
431,68.96021,81.22809,1003.265,23.51929,-0.09082031, 1.030762, 0.128418, -5.4175, -7.125625, 0.6270313,63.58927,0,2,False,True,0
453,75.09415,83.72347,1003.245,23.51013,0.02783203, 0.9985352, 0.08691406, -5.714375, 2.5775, -2.482344,68.96021,0,2,False,True,0
523,79.40881,85.62967,1003.296,-1,-0.03173828, 0.918457, 0.1762695, 13.11375, 17.59312, 5.220781,75.09415,0,2,False,True,0
538,82.51924,84.57259,1003.245,23.51929,-0.06640625, 0.9790039, 0.1137695, -11.02687, -8.281876, 1.798906,79.40881,0,2,False,True,0
555,83.54591,83.46353,1003.285,-1,-0.08154297, 1.002441, -0.02490234, -10.77687, -28.26625, -10.23234,82.51924,0,2,False,True,0
574,83.50472,78.52477,1003.377,-1,-0.004882813, 1.058594, 0.07373047, -8.058125, 0.6243749, -1.357344,83.54591,0,2,False,True,0
646,81.01475,76.32397,1003.326,-1,-0.1054688, 0.9746094, 0.04052734, 6.395, 31.65562, 2.298906,83.54591,1,2,False,True,0
659,78.66936,78.52477,1003.275,-1,0.015625, 0.9555664, 0.1103516, 3.691875, 34.49937, -2.966719,83.54591,2,2,False,True,0
675,78.59706,63.13658,1003.204,23.51929,0.06201172, 1.014648, 0.1157227, -3.51125, 13.79625, -6.060469,83.54591,3,2,False,True,0
696,70.86682,57.62595,1003.285,23.51929,-0.05908203, 1.010742, 0.105957, -3.5425, -8.500626, 1.158281,83.54591,4,2,False,True,0
772,64.24638,51.57812,1003.336,-1,-0.02685547, 0.9648438, 0.1738281, 1.066875, 11.9525, 4.330156,83.54591,5,3,True,True,0
785,57.91225,52.18463,1003.204,-1,-0.08740234, 1.00293, 0.1010742, -7.23, -11.61, 0.5645313,83.54591,5,3,True,True,0
802,55.04844,51.69942,1003.214,-1,-0.1020508, 1.026855, 0.05957031, -9.245625, -15.45375, -3.872969,83.54591,5,3,True,True,0
822,53.37393,46.2581,1003.296,23.52844,-0.06005859, 0.9829102, 0.1489258, 5.129375, 18.23375, 5.377031,83.54591,5,3,True,True,0
900,49.81602,38.87594,1003.265,-1,-0.04248047, 1.004395, 0.08398438, 0.316875, 7.35875, -3.716719,83.54591,5,3,True,True,0
914,44.34598,42.74031,1003.357,-1,0.01171875, 1.001465, 0.1000977, -0.370625, 9.171249, -6.060469,83.54591,5,3,True,True,0
927,43.54314,36.44987,1003.255,-1,-0.03173828, 1.0, 0.1152344, -0.105, -3.32875, 2.845781,83.54591,5,3,True,True,0
948,39.99651,31.84035,1003.265,23.53302,-0.1308594, 0.9926758, 0.06738281, -3.245625, -7.9225, 0.2989063,83.54591,5,3,True,True,0
1029,35.91843,33.26133,1003.286,-1,-0.1196289, 1.000488, 0.06494141, -5.183125, -16.61, -0.9979687,83.54591,5,3,True,True,0
1044,34.58988,29.13702,1003.306,23.52844,-0.09375, 1.025391, 0.05859375, -5.339375, -5.7975, -1.466719,83.54591,5,3,True,True,0
1109,31.86345,22.82925,1003.276,23.5376,-0.1005859, 1.004883, 0.08935547, -3.82375, -3.000625, -2.247969,83.54591,5,3,True,True,0
1129,27.34635,20.14326,1003.215,23.5376,-0.004882813, 0.9975586, 0.08007813, -0.558125, 10.265, -3.216719,83.54591,5,3,True,True,0
1195,23.7448,17.40527,1003.337,23.54218,-0.03808594, 1.012207, 0.06396484, -3.026875, 6.593125, -3.294844,83.54591,5,3,True,True,0
1210,20.57504,13.61021,1003.316,23.5376,0.06201172, 1.000488, 0.07861328, -0.19875, 13.23375, -6.654219,83.54591,5,3,True,True,0
1225,17.09262,12.03326,1003.256,23.5376,0.01513672, 0.9985352, 0.1191406, 0.09812498, 6.2025, -0.2948437,83.54591,5,3,True,True,0
1247,14.56294,8.758087,1003.306,23.5376,-0.1416016, 0.9892578, 0.1000977, -1.1675, -12.985, 5.767656,83.54591,5,3,True,True,0
1313,11.66051,9.329941,1003.296,23.54218,-0.07080078, 0.9916992, 0.1191406, -1.808125, -4.14125, 0.9707813,83.54591,5,3,True,True,0
1328,10.49523,2.744904,1003.296,23.54676,-0.06591797, 1.006348, 0.08349609, -4.714375, -7.4225, -2.560469,83.54591,5,3,True,True,0
1345,6.620066,4.980347,1003.317,-1,-0.04345703, 1.008789, 0.07714844, -2.5425, 0.7493749, -2.747969,83.54591,5,3,True,True,0
1364,5.800206,4.165894,1003.276,-1,-0.07275391, 0.9887695, 0.1035156, 0.754375, 2.73375, 1.783281,83.54591,5,4,True,True,0
1430,4.98305,3.351425,1003.276,-1,-0.06884766, 0.9931641, 0.09326172, -1.776875, -3.32875, 0.5801563,83.54591,5,4,True,True,0
1444,4.167238,1.150635,1003.276,-1,-0.09570313, 1.000977, 0.08105469, -3.370625, -6.32875, -0.1229687,83.54591,5,4,True,True,0
1459,2.658937,3.351425,1003.276,23.54676,-0.06689453, 1.009766, 0.07324219, -2.526875, 2.811875, -2.654219,83.54591,5,4,True,True,0
1574,3.005181,0.8733673,1003.216,23.54676,-0.1323242, 1.007813, 0.07861328, -4.214375, -9.781876, 3.861406,83.54591,5,4,True,True,0
1643,1.939274,1.150635,1003.175,-1,-0.09033203, 1.005371, 0.1108398, -4.370625, -5.781875, 4.283281,83.54591,5,4,True,True,0
1656,1.544955,5.015015,1003.216,-1,-0.08544922, 0.9931641, 0.112793, -3.308125, -0.9225001, 2.736406,83.54591,5,4,True,True,0
1673,3.279985,0.8733673,1003.307,-1,-0.04589844, 0.9970703, 0.1118164, -2.714375, 5.561875, 0.4864063,83.54591,5,4,True,True,0
1692,2.076676,3.905945,1003.297,-1,-0.0625, 0.9931641, 0.1289063, -2.058125, -2.11, 3.002031,83.54591,5,4,True,True,0
