time,temperature,pressure,altitude,errorLog
338901,-1,1016.266,-0.7399445,0
338912,21.79302,1016.226,0.3517838,0
338921,-1,1016.186,1.460846,0
338932,21.77928,1016.236,0.0745163,0
338942,-1,1016.266,-0.7399445,0
338952,-1,1016.266,-0.7399445,0
338961,-1,1016.266,-0.7399445,0
338972,21.78386,1016.307,-1.831673,0
338982,-1,1016.105,3.661629,0
338992,-1,1016.186,1.460846,0
339002,-1,1016.186,1.460846,0
339013,-1,1016.266,-0.7399445,0
339022,-1,1016.226,0.3517838,0
339033,-1,1016.266,-0.7399445,0
339043,-1,1016.226,0.3517838,0
339053,-1,1016.196,1.166252,0
339063,-1,1016.266,-0.7399445,0
339073,-1,1016.135,2.847168,0
339083,-1,1016.226,0.3517838,0
339095,-1,1016.196,1.166252,0
339105,-1,1016.266,-0.7399445,0
339115,-1,1016.266,-0.7399445,0
339124,-1,1016.245,-0.1680832,0
339134,21.77928,1016.196,1.166252,0
339143,-1,1016.277,-1.034538,0
339154,21.78386,1016.266,-0.7399445,0
339164,21.77012,1016.236,0.0745163,0
339174,-1,1016.266,-0.7399445,0
339184,21.77012,1016.358,-3.235329,0
339194,-1,1016.277,-1.034538,0
339205,21.77928,1016.236,0.0745163,0
339214,-1,1016.277,-1.034538,0
339225,-1,1016.266,-0.7399445,0
339234,-1,1016.186,1.460846,0
339245,21.77928,1016.186,1.460846,0
339254,-1,1016.256,-0.462677,0
339265,-1,1016.186,1.460846,0
339274,-1,1016.236,0.0745163,0
339286,21.77928,1016.266,-0.7399445,0
339295,-1,1016.186,1.460846,0
339305,-1,1016.135,2.847168,0
339315,-1,1016.247,-0.2027435,0
339325,-1,1016.336,-2.646141,0
339336,-1,1016.266,-0.7399445,0
339346,21.77928,1016.145,2.552574,0
339356,-1,1016.266,-0.7399445,0
339366,21.77928,1016.266,-0.7399445,0
339375,-1,1016.205,0.9409714,0
339386,-1,1016.165,2.0327,0
339396,21.77928,1016.145,2.552574,0
339407,21.78844,1016.266,-0.7399445,0
339417,21.77928,1016.186,1.460846,0
339426,-1,1016.105,3.661629,0
339437,21.77928,1016.277,-1.034538,0
339447,21.7747,1016.347,-2.940735,0
