time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,error_flag 
25,3.341248,6.522629,1000.038,23.67494,0.222168, 0.2114258, 0.9951172, 0.6529688, 2.235312, -0.5271876,0.1598663,0,0,0
91,4.646011,5.950775,1000.068,-1,0.2255859, 0.2231445, 0.9946289, -0.1282812, -0.03031254, 0.004062414,3.341248,0,0,0
269,7.091949,9.537888,1000.149,-1,0.2255859, 0.2241211, 0.9995117, 0.1217188, -0.03031254, -0.01156259,4.646011,0,0,0
436,12.43056,17.76918,1000.098,-1,0.2250977, 0.2236328, 0.9975586, -0.06578124, 0.04781246, -0.01156259,7.091949,0,0,0
683,22.94992,33.46928,1000.098,23.65663,0.2250977, 0.2226563, 0.9951172, -0.08140623, 0.0009374619, -0.02718759,12.43056,0,0,0
854,33.59027,44.23061,1000.098,-1,0.2265625, 0.2241211, 0.9960938, -0.03453124, 0.01656246, 0.03531241,22.94992,0,2,0
1026,41.78706,49.98385,1000.098,23.67036,0.2250977, 0.222168, 0.9985352, -0.003281236, -0.1084375, -0.01156259,33.59027,0,2,0
1199,49.35126,56.91546,1000.058,-1,0.2255859, 0.2216797, 0.9985352, -0.06578124, -0.03031254, 0.01968741,41.78706,0,2,0
1380,57.82086,66.29047,1000.058,23.66578,0.2265625, 0.2226563, 0.996582, -0.01890624, -0.04593754, -0.04281259,49.35126,0,2,0
1563,63.58928,69.3577,1000.047,-1,0.2275391, 0.2241211, 0.996582, 0.01234376, -0.03031254, -0.04281259,57.82086,0,2,0
1745,68.96021,74.33114,1000.058,-1,0.2275391, 0.2250977, 0.9975586, 0.01234376, -0.01468754, 0.004062414,63.58928,0,2,0
1933,75.09415,81.22809,1000.037,-1,0.2265625, 0.2250977, 0.9985352, 0.1217188, -0.03031254, -0.02718759,68.96021,0,2,0
2191,79.40881,83.72347,1000.037,-1,0.2265625, 0.2216797, 0.9956055, -0.06578124, -0.1240625, 0.01968741,75.09415,0,2,0
2390,82.51924,85.62967,1000.037,-1,0.2255859, 0.2202148, 0.9970703, 0.07484376, -0.03031254, -0.01156259,79.40881,0,2,0
2584,83.54591,84.57259,1000.118,-1,0.2270508, 0.222168, 0.9970703, -0.06578124, -0.01468754, 0.01968741,82.51924,0,2,0
2780,83.50472,83.46353,999.9257,-1,0.2275391, 0.2236328, 0.9970703, -0.003281236, -0.03031254, 0.01968741,83.54591,0,2,0
2982,81.01475,78.52477,1000.108,-1,0.2270508, 0.2207031, 0.9995117, 0.04359376, -0.01468754, 0.03531241,83.54591,1,2,0
3184,78.66936,76.32397,1000.037,-1,0.2280273, 0.2236328, 0.996582, -0.03453124, -0.03031254, 0.03531241,83.54591,2,2,0
3386,78.59706,78.52477,1000.037,23.65663,0.2265625, 0.2226563, 0.9985352, -0.03453124, 0.0009374619, -0.02718759,83.54591,3,2,0
3691,70.86682,63.13658,1000.108,-1,0.2260742, 0.2216797, 0.9975586, 0.1060938, -0.07718754, -0.05843759,83.54591,4,2,0
3852,64.24638,57.62595,999.9966,-1,0.2260742, 0.2216797, 0.9951172, -0.003281236, -0.03031254, 0.03531241,83.54591,5,3,0
4019,57.91225,51.57812,1000.058,-1,0.2265625, 0.2231445, 0.9960938, -0.1282812, -0.03031254, -0.02718759,83.54591,5,3,0
4187,55.04844,52.18463,1000.108,-1,0.2290039, 0.2236328, 1.000488, -0.03453124, 0.1728125, 0.03531241,83.54591,5,3,0
4358,53.37393,51.69942,1000.098,-1,0.2270508, 0.2236328, 0.9960938, 0.1373438, -0.06156254, 0.03531241,83.54591,5,3,0
4528,49.81602,46.2581,1000.017,-1,0.2324219, 0.2216797, 0.9985352, -0.03453124, -0.01468754, 0.004062414,83.54591,5,3,0
4702,44.34598,38.87594,1000.037,-1,0.2280273, 0.2216797, 0.9946289, -0.003281236, -0.01468754, -0.04281259,83.54591,5,3,0
4883,43.54314,42.74031,999.9152,23.64747,0.2299805, 0.2226563, 0.9926758, -0.4251562, 0.2509375, 0.1134374,83.54591,5,3,0
5132,39.99651,36.44987,1000.017,23.64747,0.2246094, 0.2255859, 1.005859, -0.01890624, 0.9228125, -0.07406259,83.54591,5,3,0
5312,35.91843,31.84035,1000.098,-1,0.2246094, 0.2231445, 0.9980469, -0.1439062, 0.03218746, -0.05843759,83.54591,5,3,0
5494,34.58988,33.26133,1000.058,23.64747,0.2260742, 0.2231445, 0.9970703, 0.01234376, 0.1571875, 0.01968741,83.54591,5,3,0
5682,31.86345,29.13702,1000.138,23.64747,0.2280273, 0.2211914, 0.9990234, 0.02796876, -0.01468754, -0.05843759,83.54591,5,3,0
5869,27.34635,22.82925,1000.006,-1,0.2265625, 0.2255859, 0.996582, -0.1282812, -0.09281254, -0.2146876,83.54591,5,3,0
6060,23.7448,20.14326,1000.017,-1,0.2250977, 0.2236328, 0.9985352, 0.05921876, -0.1240625, -0.05843759,83.54591,5,3,0
6252,20.57504,17.40527,1000.088,-1,0.2280273, 0.2255859, 0.996582, -0.003281236, -0.1865625, -0.02718759,83.54591,5,3,0
6519,17.09262,13.61021,1000.118,-1,0.2275391, 0.2236328, 0.9956055, 0.04359376, -0.1240625, -0.01156259,83.54591,5,3,0
6714,14.56294,12.03326,1000.006,-1,0.2241211, 0.2148438, 1.000488, -0.03453124, 0.4228125, 0.05093741,83.54591,5,3,0
6914,11.66051,8.758087,1000.006,-1,0.2285156, 0.2241211, 0.9916992, 0.2154688, -0.4521875, 0.004062414,83.54591,5,3,0
7117,10.49523,9.329941,1000.037,-1,0.2265625, 0.2211914, 0.9970703, -0.03453124, -0.01468754, 0.004062414,83.54591,5,3,0
7320,6.620066,2.744904,1000.047,-1,0.2265625, 0.2211914, 0.9975586, -0.1751562, -0.2959375, 0.1446874,83.54591,5,3,0
7486,5.800206,4.980347,1000.027,-1,0.2285156, 0.2207031, 0.9951172, 0.1060938, 0.0009374619, -0.02718759,83.54591,5,4,0
7653,4.98305,4.165894,1000.068,23.64747,0.2255859, 0.2211914, 1.000488, 0.01234376, 0.3446875, -0.02718759,83.54591,5,4,0
7833,4.167238,3.351425,1000.088,-1,0.2260742, 0.2226563, 1.001953, 0.1373438, -0.09281254, 0.03531241,83.54591,5,4,0
8076,2.658937,1.150635,1000.017,23.64747,0.2255859, 0.2255859, 0.9970703, -0.003281236, -0.1709375, -0.02718759,83.54591,5,4,0
8245,3.005181,3.351425,1000.098,23.65205,0.2275391, 0.2216797, 0.9960938, 0.01234376, -0.07718754, 0.08218741,83.54591,5,4,0
8418,1.939274,0.8733673,1000.098,-1,0.2255859, 0.2216797, 0.9960938, -0.05015624, -0.01468754, 0.1134374,83.54591,5,4,0
8595,1.544955,1.150635,1000.098,-1,0.2260742, 0.2216797, 0.9956055, -0.1439062, 0.04781246, -0.02718759,83.54591,5,4,0
8774,3.279985,5.015015,1000.098,-1,0.2255859, 0.2207031, 0.9960938, -0.003281236, 0.03218746, 0.01968741,83.54591,5,4,0
8952,2.076676,0.8733673,1000.088,23.64747,0.2250977, 0.2216797, 0.9960938, 0.01234376, -0.01468754, 0.01968741,83.54591,5,4,0
9133,2.991311,3.905945,1000.118,-1,0.2250977, 0.2211914, 0.9975586, 0.01234376, 0.01656246, -0.01156259,83.54591,5,4,0
