time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,3.472069,6.522629,998.4587,-1,0.2382813, 0.009277344, 1.019043, 0.01578128, -0.1968751, 0.04437494,0.4215088,0,2,0
91,4.711422,5.950775,998.3784,-1,0.2329102, 0.008300781, 1.025391, 0.01578128, -0.0875001, -0.01812506,3.472069,0,2,0
269,7.124655,9.537888,998.3279,19.77285,0.2412109, 0.001953125, 1.033203, 0.01578128, -0.3687501, -0.01812506,4.711422,0,2,0
436,12.44692,17.76918,998.429,-1,0.2143555, -0.004882813, 1.01416, -0.1560937, 0.2718749, 0.1224999,7.124655,0,2,0
683,22.9581,33.46928,998.3681,19.77743,0.253418, 0.004882813, 1.024414, 0.0001562834, -0.1812501, 0.04437494,12.44692,0,2,0
854,33.59435,44.23061,998.3889,-1,0.2407227, 0.009277344, 1.016113, 0.01578128, -0.2125001, -0.04937506,22.9581,0,2,0
1026,41.7891,49.98385,998.4395,-1,0.2416992, 0.008789063, 1.024414, 0.01578128, 0.0218749, -0.01812506,33.59435,0,2,0
1199,49.35228,56.91546,998.3889,-1,0.2407227, 0.008789063, 1.021973, 0.06265628, 0.006249905, 0.02874994,41.7891,0,2,0
1380,57.82137,66.29047,998.4395,-1,0.2368164, 0.01074219, 1.023438, 0.1095313, 0.0531249, -0.002500057,49.35228,0,2,0
1563,63.58953,69.3577,998.3486,-1,0.237793, 0.007324219, 1.020508, 0.01578128, 0.0218749, 0.05999994,57.82137,0,2,0
1745,68.96033,74.33114,998.3083,19.78201,0.2397461, 0.007324219, 1.023438, -0.04671872, 0.006249905, 0.02874994,63.58953,0,2,0
1933,75.09421,81.22809,998.3992,-1,0.2426758, 0.006835938, 1.022949, -0.04671872, -0.0406251, 0.01312494,68.96033,0,2,0
2191,79.40884,83.72347,998.3992,19.78201,0.2387695, 0.006835938, 1.021973, -0.01546872, 0.0374999, 0.01312494,75.09421,0,2,0
2390,82.51926,85.62967,998.3889,19.77743,0.2382813, 0.008789063, 1.022461, 0.06265628, -0.009375095, -0.03375006,79.40884,0,2,0
2584,83.54593,84.57259,998.3795,-1,0.2387695, 0.006835938, 1.020996, 0.01578128, -0.009375095, -0.002500057,82.51926,0,2,0
2780,83.50473,83.46353,998.4599,-1,0.2373047, 0.007324219, 1.020996, 0.0001562834, 0.0218749, -0.002500057,83.54593,0,2,0
2982,81.01476,78.52477,998.4599,19.79118,0.237793, 0.006835938, 1.020996, 0.01578128, 0.0374999, -0.01812506,83.54593,1,2,0
3184,78.66936,76.32397,998.4197,19.7866,0.2392578, 0.008789063, 1.022461, -0.01546872, -0.0250001, 0.02874994,83.54593,2,2,0
3386,78.59706,78.52477,998.4599,19.79118,0.2387695, 0.005859375, 1.019531, -0.09359371, 0.0843749, 0.02874994,83.54593,3,2,0
3691,70.86682,63.13658,998.3188,-1,0.2373047, 0.008789063, 1.024414, 0.09390629, 0.0531249, 0.02874994,83.54593,4,2,0
3852,64.24638,57.62595,998.4701,-1,0.2421875, 0.004882813, 1.02002, -0.04671872, -0.0718751, 0.01312494,83.54593,5,3,0
4019,57.91225,51.57812,998.3795,-1,0.2373047, 0.006347656, 1.021484, -0.01546872, 0.0218749, 0.02874994,83.54593,5,3,0
4187,55.04844,52.18463,998.3494,19.79118,0.2426758, 0.006347656, 1.018555, 0.01578128, 0.0218749, 0.02874994,83.54593,5,3,0
4358,53.37393,51.69942,998.3092,19.79576,0.2373047, 0.008300781, 1.022949, -0.01546872, 0.006249905, -0.002500057,83.54593,5,3,0
4528,49.81602,46.2581,998.4908,-1,0.2387695, 0.007324219, 1.019531, -0.04671872, -0.009375095, -0.01812506,83.54593,5,3,0
4702,44.34598,38.87594,998.4,-1,0.2373047, 0.008789063, 1.023438, -0.01546872, 0.006249905, -0.002500057,83.54593,5,3,0
4883,43.54314,42.74031,998.33,19.80492,0.237793, 0.006835938, 1.020996, 0.0001562834, 0.0531249, -0.002500057,83.54593,5,3,0
5132,39.99651,36.44987,998.4611,-1,0.237793, 0.006835938, 1.022461, -0.01546872, -0.009375095, 0.05999994,83.54593,5,3,0
5312,35.91843,31.84035,998.3806,-1,0.2392578, 0.008789063, 1.021484, 0.09390629, 0.0218749, 0.01312494,83.54593,5,3,0
5494,34.58988,33.26133,998.4208,-1,0.2382813, 0.008300781, 1.02002, -0.03109372, 0.0531249, 0.02874994,83.54593,5,3,0
5682,31.86345,29.13702,998.4402,-1,0.2392578, 0.008789063, 1.019043, 0.0001562834, -0.009375095, -0.04937506,83.54593,5,3,0
5869,27.34635,22.82925,998.4311,-1,0.2319336, -0.004882813, 1.041992, 0.01578128, -0.2906251, 0.04437494,83.54593,5,3,0
6060,23.7448,20.14326,998.4611,-1,0.2392578, 0.01025391, 1.020508, 0.09390629, -0.0406251, -0.002500057,83.54593,5,3,0
6252,20.57504,17.40527,998.4311,-1,0.2373047, 0.007324219, 1.018555, 0.07828128, 0.0531249, -0.002500057,83.54593,5,3,0
6519,17.09262,13.61021,998.4816,19.81867,0.2348633, 0.007324219, 1.027344, -0.01546872, 0.0218749, -0.002500057,83.54593,5,3,0
