time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,2.817474,6.522629,999.9558,23.63832,0.1552734, 0.199707, 1.030273, -1.69875, 0.3389063, 0.2392187,0,1,2,False,False,0
91,4.384125,5.950775,999.8844,-1,0.1601563, 0.1982422, 1.024414, 3.55125, -0.8798437, -0.1357813,2.817474,0,2,False,False,0
269,6.961006,9.537888,999.9351,23.62916,0.159668, 0.1992188, 1.02002, 4.348125, -0.9423437, -0.1357813,4.384125,0,2,False,False,0
436,12.36509,17.76918,1000.016,-1,0.1606445, 0.2001953, 1.016113, 3.410625, -0.8642187, -0.04203129,6.961006,0,2,False,False,0
683,22.91719,33.46928,999.9249,23.63832,0.1611328, 0.199707, 1.013672, 2.7075, -0.6767187, -0.05765629,12.36509,0,2,False,False,0
854,33.5739,44.23061,999.9351,23.63832,0.1611328, 0.2016602, 1.013672, 2.285625, -0.8173437, 0.004843712,22.91719,0,2,False,True,0
1026,41.77887,49.98385,999.8135,-1,0.159668, 0.2021484, 1.013672, 2.504375, -0.8329687, -0.01078129,33.5739,0,2,False,True,0
1199,49.34717,56.91546,999.9963,-1,0.1621094, 0.2026367, 1.016602, 2.660625, -0.7860937, -0.07328129,41.77887,0,2,False,True,0
1380,57.81882,66.29047,999.9756,-1,0.1606445, 0.203125, 1.016113, 2.691875, -0.8329687, -0.02640629,49.34717,0,2,False,True,0
1563,63.58826,69.3577,999.9249,23.63832,0.1611328, 0.203125, 1.015137, 2.598125, -0.8329687, -0.08890629,57.81882,0,2,False,True,0
1745,68.9597,74.33114,999.8744,-1,0.1601563, 0.203125, 1.012695, 2.48875, -0.7860937, 0.004843712,63.58826,0,2,False,True,0
1933,75.09389,81.22809,999.996,23.62458,0.1616211, 0.2045898, 1.013672, 2.504375, -0.7704687, -0.02640629,68.9597,0,2,False,True,0
2191,79.40868,83.72347,999.9655,-1,0.1611328, 0.203125, 1.014648, 2.52, -0.7548437, 0.004843712,75.09389,0,2,False,True,0
2390,82.51918,85.62967,999.8946,-1,0.1621094, 0.2026367, 1.01416, 2.52, -0.8329687, -0.1045313,79.40868,0,2,False,True,0
2584,83.54588,84.57259,1000.006,-1,0.1611328, 0.2041016, 1.013184, 2.566875, -0.7704687, -0.01078129,82.51918,0,2,False,True,0
2780,83.50471,83.46353,1000.047,23.63832,0.1611328, 0.2026367, 1.013672, 2.535625, -0.7392187, -0.02640629,83.54588,0,2,False,True,0
2982,81.01474,78.52477,999.7729,23.62458,0.1621094, 0.2026367, 1.012695, 2.61375, -0.7235937, -0.02640629,83.54588,1,2,False,True,0
3184,78.66936,76.32397,1000.047,23.61085,0.1625977, 0.203125, 1.012695, 2.535625, -0.7392187, -0.04203129,83.54588,2,2,False,True,0
3386,78.59706,78.52477,1000.026,23.62001,0.1616211, 0.2036133, 1.013184, 2.566875, -0.9423437, -0.1045313,83.54588,3,2,False,True,0
3691,70.86682,63.13658,1000.037,23.62001,0.1630859, 0.2045898, 1.015625, 2.504375, -0.7392187, -0.07328129,83.54588,4,2,False,True,0
3852,64.24638,57.62595,999.9858,23.62001,0.1616211, 0.2041016, 1.013672, 2.55125, -0.7392187, -0.02640629,83.54588,5,3,True,True,0
4019,57.91225,51.57812,999.8744,-1,0.1616211, 0.2060547, 1.013672, 2.5825, -0.7704687, -0.05765629,83.54588,5,3,True,True,0
4187,55.04844,52.18463,999.9347,-1,0.1611328, 0.2055664, 1.014648, 2.504375, -0.8017187, -0.04203129,83.54588,5,3,True,True,0
4358,53.37393,51.69942,1000.037,23.62458,0.1625977, 0.2060547, 1.01416, 2.504375, -0.7548437, -0.05765629,83.54588,5,3,True,True,0
4528,49.81602,46.2581,1000.006,-1,0.1611328, 0.2050781, 1.013184, 2.4575, -0.7704687, -0.07328129,83.54588,5,3,True,True,0
4702,44.34598,38.87594,999.8844,23.62001,0.1630859, 0.206543, 1.013672, 2.629375, -0.7235937, -0.04203129,83.54588,5,3,True,True,0
